"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven/Totaal geregistreerde misdrijven (aantal)"
"17 Witwassen";"2018";"Amsterdam";110
"17 Witwassen";"2019";"Amsterdam";170
"17 Witwassen";"2020";"Amsterdam";195
"17 Witwassen";"2021";"Amsterdam";215
"17 Witwassen";"2022*";"Amsterdam";180
"17 Witwassen";"2023*";"Amsterdam";145
"2 Vernielingen,misdropenborde/gezag";"2010";"Amsterdam";10525
"2 Vernielingen,misdropenborde/gezag";"2011";"Amsterdam";10120
"2 Vernielingen,misdropenborde/gezag";"2012";"Amsterdam";8055
"2 Vernielingen,misdropenborde/gezag";"2013";"Amsterdam";7390
"2 Vernielingen,misdropenborde/gezag";"2014";"Amsterdam";7360
"2 Vernielingen,misdropenborde/gezag";"2015";"Amsterdam";7065
"2 Vernielingen,misdropenborde/gezag";"2016";"Amsterdam";7395
"2 Vernielingen,misdropenborde/gezag";"2017";"Amsterdam";7645
"2 Vernielingen,misdropenborde/gezag";"2018";"Amsterdam";6940
"2 Vernielingen,misdropenborde/gezag";"2019";"Amsterdam";7230
"2 Vernielingen,misdropenborde/gezag";"2020";"Amsterdam";7085
"2 Vernielingen,misdropenborde/gezag";"2021";"Amsterdam";8045
"2 Vernielingen,misdropenborde/gezag";"2022*";"Amsterdam";7785
"2 Vernielingen,misdropenborde/gezag";"2023*";"Amsterdam";7865
"21 Vernieling en beschadiging";"2010";"Amsterdam";6260
"21 Vernieling en beschadiging";"2011";"Amsterdam";5900
"21 Vernieling en beschadiging";"2012";"Amsterdam";5705
"21 Vernieling en beschadiging";"2013";"Amsterdam";5200
"21 Vernieling en beschadiging";"2014";"Amsterdam";5070
"21 Vernieling en beschadiging";"2015";"Amsterdam";4930
"21 Vernieling en beschadiging";"2016";"Amsterdam";4920
"21 Vernieling en beschadiging";"2017";"Amsterdam";4855
"21 Vernieling en beschadiging";"2018";"Amsterdam";4240
"21 Vernieling en beschadiging";"2019";"Amsterdam";4420
"21 Vernieling en beschadiging";"2020";"Amsterdam";4450
"21 Vernieling en beschadiging";"2021";"Amsterdam";4140
"21 Vernieling en beschadiging";"2022*";"Amsterdam";4740
"21 Vernieling en beschadiging";"2023*";"Amsterdam";4730
"211 Vernieling aan auto";"2010";"Amsterdam";2865
"211 Vernieling aan auto";"2011";"Amsterdam";2525
"211 Vernieling aan auto";"2012";"Amsterdam";2445
"211 Vernieling aan auto";"2013";"Amsterdam";2185
"211 Vernieling aan auto";"2014";"Amsterdam";2095
"211 Vernieling aan auto";"2015";"Amsterdam";1975
"211 Vernieling aan auto";"2016";"Amsterdam";2040
"211 Vernieling aan auto";"2017";"Amsterdam";1825
"211 Vernieling aan auto";"2018";"Amsterdam";1665
"211 Vernieling aan auto";"2019";"Amsterdam";1575
"211 Vernieling aan auto";"2020";"Amsterdam";1490
"211 Vernieling aan auto";"2021";"Amsterdam";1430
"211 Vernieling aan auto";"2022*";"Amsterdam";1745
"211 Vernieling aan auto";"2023*";"Amsterdam";1745
"212 Vernieling aan openbaar gebouw";"2010";"Amsterdam";260
"212 Vernieling aan openbaar gebouw";"2011";"Amsterdam";210
"212 Vernieling aan openbaar gebouw";"2012";"Amsterdam";115
"212 Vernieling aan openbaar gebouw";"2013";"Amsterdam";125
"212 Vernieling aan openbaar gebouw";"2014";"Amsterdam";105
"212 Vernieling aan openbaar gebouw";"2015";"Amsterdam";105
"212 Vernieling aan openbaar gebouw";"2016";"Amsterdam";105
"212 Vernieling aan openbaar gebouw";"2017";"Amsterdam";85
"212 Vernieling aan openbaar gebouw";"2018";"Amsterdam";80
"212 Vernieling aan openbaar gebouw";"2019";"Amsterdam";65
"212 Vernieling aan openbaar gebouw";"2020";"Amsterdam";75
"212 Vernieling aan openbaar gebouw";"2021";"Amsterdam";75
"212 Vernieling aan openbaar gebouw";"2022*";"Amsterdam";90
"212 Vernieling aan openbaar gebouw";"2023*";"Amsterdam";100
"213 Vernieling middel openb vervoer";"2010";"Amsterdam";85
"213 Vernieling middel openb vervoer";"2011";"Amsterdam";145
"213 Vernieling middel openb vervoer";"2012";"Amsterdam";180
"213 Vernieling middel openb vervoer";"2013";"Amsterdam";160
"213 Vernieling middel openb vervoer";"2014";"Amsterdam";195
"213 Vernieling middel openb vervoer";"2015";"Amsterdam";160
"213 Vernieling middel openb vervoer";"2016";"Amsterdam";115
"213 Vernieling middel openb vervoer";"2017";"Amsterdam";470
"213 Vernieling middel openb vervoer";"2018";"Amsterdam";245
"213 Vernieling middel openb vervoer";"2019";"Amsterdam";260
"213 Vernieling middel openb vervoer";"2020";"Amsterdam";330
"213 Vernieling middel openb vervoer";"2021";"Amsterdam";205
"213 Vernieling middel openb vervoer";"2022*";"Amsterdam";290
"213 Vernieling middel openb vervoer";"2023*";"Amsterdam";175
"215 Vernieling, beschadiging (overig)";"2010";"Amsterdam";3045
"215 Vernieling, beschadiging (overig)";"2011";"Amsterdam";3015
"215 Vernieling, beschadiging (overig)";"2012";"Amsterdam";2970
"215 Vernieling, beschadiging (overig)";"2013";"Amsterdam";2730
"215 Vernieling, beschadiging (overig)";"2014";"Amsterdam";2675
"215 Vernieling, beschadiging (overig)";"2015";"Amsterdam";2690
"215 Vernieling, beschadiging (overig)";"2016";"Amsterdam";2655
"215 Vernieling, beschadiging (overig)";"2017";"Amsterdam";2475
"215 Vernieling, beschadiging (overig)";"2018";"Amsterdam";2250
"215 Vernieling, beschadiging (overig)";"2019";"Amsterdam";2515
"215 Vernieling, beschadiging (overig)";"2020";"Amsterdam";2555
"215 Vernieling, beschadiging (overig)";"2021";"Amsterdam";2425
"215 Vernieling, beschadiging (overig)";"2022*";"Amsterdam";2610
"215 Vernieling, beschadiging (overig)";"2023*";"Amsterdam";2705
"22 Openbare orde misdrijf";"2010";"Amsterdam";2860
"22 Openbare orde misdrijf";"2011";"Amsterdam";2765
"22 Openbare orde misdrijf";"2012";"Amsterdam";1175
"22 Openbare orde misdrijf";"2013";"Amsterdam";1060
"22 Openbare orde misdrijf";"2014";"Amsterdam";1115
"22 Openbare orde misdrijf";"2015";"Amsterdam";955
"22 Openbare orde misdrijf";"2016";"Amsterdam";1080
"22 Openbare orde misdrijf";"2017";"Amsterdam";935
"22 Openbare orde misdrijf";"2018";"Amsterdam";1070
"22 Openbare orde misdrijf";"2019";"Amsterdam";1200
"22 Openbare orde misdrijf";"2020";"Amsterdam";1485
"22 Openbare orde misdrijf";"2021";"Amsterdam";2120
"22 Openbare orde misdrijf";"2022*";"Amsterdam";1825
"22 Openbare orde misdrijf";"2023*";"Amsterdam";1800
"221 Openlijke geweldpleging";"2010";"Amsterdam";670
"221 Openlijke geweldpleging";"2011";"Amsterdam";585
"221 Openlijke geweldpleging";"2012";"Amsterdam";490
"221 Openlijke geweldpleging";"2013";"Amsterdam";470
"221 Openlijke geweldpleging";"2014";"Amsterdam";380
"221 Openlijke geweldpleging";"2015";"Amsterdam";305
"221 Openlijke geweldpleging";"2016";"Amsterdam";330
"221 Openlijke geweldpleging";"2017";"Amsterdam";295
"221 Openlijke geweldpleging";"2018";"Amsterdam";260
"221 Openlijke geweldpleging";"2019";"Amsterdam";335
"221 Openlijke geweldpleging";"2020";"Amsterdam";205
"221 Openlijke geweldpleging";"2021";"Amsterdam";385
"221 Openlijke geweldpleging";"2022*";"Amsterdam";360
"221 Openlijke geweldpleging";"2023*";"Amsterdam";370
"2211 Openlijk geweld tegen persoon";"2010";"Amsterdam";510
"2211 Openlijk geweld tegen persoon";"2011";"Amsterdam";435
"2211 Openlijk geweld tegen persoon";"2012";"Amsterdam";370
"2211 Openlijk geweld tegen persoon";"2013";"Amsterdam";380
"2211 Openlijk geweld tegen persoon";"2014";"Amsterdam";300
"2211 Openlijk geweld tegen persoon";"2015";"Amsterdam";250
"2211 Openlijk geweld tegen persoon";"2016";"Amsterdam";280
"2211 Openlijk geweld tegen persoon";"2017";"Amsterdam";240
"2211 Openlijk geweld tegen persoon";"2018";"Amsterdam";235
"2211 Openlijk geweld tegen persoon";"2019";"Amsterdam";275
"2211 Openlijk geweld tegen persoon";"2020";"Amsterdam";175
"2211 Openlijk geweld tegen persoon";"2021";"Amsterdam";320
"2211 Openlijk geweld tegen persoon";"2022*";"Amsterdam";320
"2211 Openlijk geweld tegen persoon";"2023*";"Amsterdam";320
"2212 Openlijke geweld tegen goed";"2010";"Amsterdam";155
"2212 Openlijke geweld tegen goed";"2011";"Amsterdam";150
"2212 Openlijke geweld tegen goed";"2012";"Amsterdam";115
"2212 Openlijke geweld tegen goed";"2013";"Amsterdam";85
"2212 Openlijke geweld tegen goed";"2014";"Amsterdam";80
"2212 Openlijke geweld tegen goed";"2015";"Amsterdam";55
"2212 Openlijke geweld tegen goed";"2016";"Amsterdam";50
"2212 Openlijke geweld tegen goed";"2017";"Amsterdam";55
"2212 Openlijke geweld tegen goed";"2018";"Amsterdam";25
"2212 Openlijke geweld tegen goed";"2019";"Amsterdam";60
"2212 Openlijke geweld tegen goed";"2020";"Amsterdam";30
"2212 Openlijke geweld tegen goed";"2021";"Amsterdam";70
"2212 Openlijke geweld tegen goed";"2022*";"Amsterdam";40
"2212 Openlijke geweld tegen goed";"2023*";"Amsterdam";50
"222 Huisvredebreuk";"2010";"Amsterdam";320
"222 Huisvredebreuk";"2011";"Amsterdam";270
"222 Huisvredebreuk";"2012";"Amsterdam";215
"222 Huisvredebreuk";"2013";"Amsterdam";235
"222 Huisvredebreuk";"2014";"Amsterdam";240
"222 Huisvredebreuk";"2015";"Amsterdam";255
"222 Huisvredebreuk";"2016";"Amsterdam";275
"222 Huisvredebreuk";"2017";"Amsterdam";215
"222 Huisvredebreuk";"2018";"Amsterdam";265
"222 Huisvredebreuk";"2019";"Amsterdam";265
"222 Huisvredebreuk";"2020";"Amsterdam";245
"222 Huisvredebreuk";"2021";"Amsterdam";215
"222 Huisvredebreuk";"2022*";"Amsterdam";305
"222 Huisvredebreuk";"2023*";"Amsterdam";310
"223 Lokaalvredebreuk";"2010";"Amsterdam";90
"223 Lokaalvredebreuk";"2011";"Amsterdam";80
"223 Lokaalvredebreuk";"2012";"Amsterdam";60
"223 Lokaalvredebreuk";"2013";"Amsterdam";40
"223 Lokaalvredebreuk";"2014";"Amsterdam";55
"223 Lokaalvredebreuk";"2015";"Amsterdam";75
"223 Lokaalvredebreuk";"2016";"Amsterdam";55
"223 Lokaalvredebreuk";"2017";"Amsterdam";45
"223 Lokaalvredebreuk";"2018";"Amsterdam";35
"223 Lokaalvredebreuk";"2019";"Amsterdam";45
"223 Lokaalvredebreuk";"2020";"Amsterdam";30
"223 Lokaalvredebreuk";"2021";"Amsterdam";25
"223 Lokaalvredebreuk";"2022*";"Amsterdam";45
"223 Lokaalvredebreuk";"2023*";"Amsterdam";45
"224 Computervredebreuk";"2010";"Amsterdam";70
"224 Computervredebreuk";"2011";"Amsterdam";65
"224 Computervredebreuk";"2012";"Amsterdam";110
"224 Computervredebreuk";"2013";"Amsterdam";75
"224 Computervredebreuk";"2014";"Amsterdam";105
"224 Computervredebreuk";"2015";"Amsterdam";135
"224 Computervredebreuk";"2016";"Amsterdam";200
"224 Computervredebreuk";"2017";"Amsterdam";220
"224 Computervredebreuk";"2018";"Amsterdam";315
"224 Computervredebreuk";"2019";"Amsterdam";320
"224 Computervredebreuk";"2020";"Amsterdam";810
"224 Computervredebreuk";"2021";"Amsterdam";1270
"224 Computervredebreuk";"2022*";"Amsterdam";885
"224 Computervredebreuk";"2023*";"Amsterdam";850
"225 Discriminatie";"2010";"Amsterdam";95
"225 Discriminatie";"2011";"Amsterdam";75
"225 Discriminatie";"2012";"Amsterdam";65
"225 Discriminatie";"2013";"Amsterdam";55
"225 Discriminatie";"2014";"Amsterdam";160
"225 Discriminatie";"2015";"Amsterdam";60
"225 Discriminatie";"2016";"Amsterdam";80
"225 Discriminatie";"2017";"Amsterdam";50
"225 Discriminatie";"2018";"Amsterdam";55
"225 Discriminatie";"2019";"Amsterdam";65
"225 Discriminatie";"2020";"Amsterdam";65
"225 Discriminatie";"2021";"Amsterdam";100
"225 Discriminatie";"2022*";"Amsterdam";65
"225 Discriminatie";"2023*";"Amsterdam";100
"226 Openbare orde misdrijf (overig)";"2010";"Amsterdam";1615
"226 Openbare orde misdrijf (overig)";"2011";"Amsterdam";1685
"226 Openbare orde misdrijf (overig)";"2012";"Amsterdam";240
"226 Openbare orde misdrijf (overig)";"2013";"Amsterdam";190
