"Wijken en buurten";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Geslacht/Mannen (aantal)";"Bevolking/Geslacht/Vrouwen (aantal)";"Bevolking/Leeftijdsgroepen/0 tot 15 jaar (aantal)";"Bevolking/Leeftijdsgroepen/15 tot 25 jaar (aantal)";"Bevolking/Leeftijdsgroepen/25 tot 45 jaar (aantal)";"Bevolking/Leeftijdsgroepen/45 tot 65 jaar (aantal)";"Bevolking/Leeftijdsgroepen/65 jaar of ouder (aantal)";"Bevolking/Burgerlijke staat/Ongehuwd (aantal)";"Bevolking/Burgerlijke staat/Gehuwd (aantal)";"Bevolking/Burgerlijke staat/Gescheiden (aantal)";"Bevolking/Burgerlijke staat/Verweduwd (aantal)";"Bevolking/Personen met een migratieachtergrond/Westers totaal (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Niet-westers totaal (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Marokko (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Nederlandse Antillen en Aruba (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Suriname (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Turkije (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Overig niet-westers (aantal)";"Bevolking/Geboorte en sterfte/Geboorte totaal (aantal)";"Bevolking/Geboorte en sterfte/Geboorte relatief (per 1 000 inwoners)";"Bevolking/Geboorte en sterfte/Sterfte totaal (aantal)";"Bevolking/Geboorte en sterfte/Sterfte relatief (per 1 000 inwoners)";"Bevolking/Particuliere huishoudens/Huishoudens totaal (aantal)";"Bevolking/Particuliere huishoudens/Eenpersoonshuishoudens (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens zonder kinderen (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens met kinderen (aantal)";"Bevolking/Particuliere huishoudens/Gemiddelde huishoudensgrootte (aantal)";"Bevolking/Bevolkingsdichtheid (aantal inwoners per km²)"
"Sarphatiparkbuurt";5060;2580;2480;395;655;2510;1060;440;3885;785;325;65;1290;885;90;35;175;70;505;50;10;25;5;3415;2265;765;380;1,5;22302
"Nieuwe Pijp";12325;5965;6360;1170;1305;5705;2685;1465;9010;2060;950;310;2810;2575;570;110;535;240;1115;155;13;75;6;7910;5010;1720;1175;1,5;23998
"Willibrordusbuurt";2515;1180;1335;180;295;1110;530;405;1765;430;225;100;535;555;140;30;115;45;230;30;12;20;9;1735;1195;360;190;1,4;23488
"Van der Helstpleinbuurt";3880;1950;1925;400;390;1930;830;325;2920;630;285;45;945;755;115;30;165;80;370;50;13;10;2;2480;1520;575;380;1,6;28451
"Lizzy Ansinghbuurt";2420;1145;1270;260;250;1005;580;330;1760;375;195;85;540;620;175;30;135;45;240;30;11;30;12;1440;885;290;265;1,6;19550
"Cornelis Troostbuurt";3515;1690;1825;340;370;1660;740;405;2570;620;240;80;795;650;145;30;125;70;280;55;15;15;4;2255;1420;495;340;1,6;23987
"Zuid Pijp";8205;3890;4310;935;970;2800;2260;1240;5445;1620;925;210;1510;2800;810;90;590;320;985;80;10;50;6;4905;2870;955;1080;1,7;23247
"Diamantbuurt";3125;1505;1620;380;390;1045;840;470;2100;630;315;85;580;1125;345;40;225;115;405;30;9;15;4;1840;1090;325;425;1,7;22679
"Burgemeester Tellegenbuurt Oost";2830;1310;1515;305;370;990;770;395;1880;570;305;65;505;945;285;30;205;115;315;30;11;20;7;1685;970;345;375;1,7;24116
"Burgemeester Tellegenbuurt West";2250;1075;1175;250;205;765;655;380;1460;425;305;65;420;725;180;20;165;90;270;20;11;15;6;1380;805;290;285;1,6;23005
"Weesperzijde";5540;2785;2755;635;850;2410;1155;495;4065;1085;325;75;1385;1050;210;40;190;95;515;95;16;20;4;3475;2180;740;555;1,6;14984
"Swammerdambuurt";1970;1005;965;230;235;945;410;150;1450;395;105;25;475;260;40;10;50;15;140;40;19;10;3;1195;695;305;195;1,6;17018
"Weesperzijde Midden/Zuid";3045;1540;1505;390;275;1310;730;340;2110;675;210;45;635;615;140;30;130;65;255;50;17;15;5;1800;1035;420;350;1,7;16496
"Parooldriehoek";525;235;290;15;335;160;15;5;500;15;5;0;275;180;30;5;10;15;125;5;4;0;0;475;445;15;15;1,1;7566
"Oosterparkbuurt";10890;5430;5465;1305;1195;4455;2775;1170;7555;2165;950;220;1955;3745;1080;100;845;515;1215;130;12;55;5;6460;3835;1365;1265;1,7;15076
"Oosterparkbuurt Noordwest";3915;1925;1990;360;465;1740;920;425;2785;730;330;75;745;1260;305;40;270;165;470;35;9;10;3;2450;1525;525;400;1,6;18371
"Oosterpark";125;65;60;5;10;55;50;10;105;5;15;0;25;25;0;0;15;0;10;0;0;0;0;100;80;15;10;1,2;553
"Oosterparkbuurt Zuidoost";3765;1860;1900;515;415;1425;985;430;2560;820;295;90;730;1050;350;20;230;125;320;45;13;30;7;2120;1170;485;460;1,7;23853
"Oosterparkbuurt Zuidwest";3085;1575;1510;425;300;1230;825;300;2110;605;310;55;465;1415;425;35;330;220;410;45;14;10;4;1785;1055;340;390;1,7;25320
"Dapperbuurt";10070;4965;5100;1190;1265;3840;2480;1295;6680;2135;945;305;1575;3760;1120;115;785;655;1090;130;13;75;7;5805;3460;1170;1175;1,7;16956
"Dapperbuurt Noord";4355;2130;2220;470;535;1700;1035;615;2895;900;410;150;715;1705;500;45;350;335;475;55;13;25;6;2550;1545;515;490;1,7;22088
"Dapperbuurt Zuid";3820;1895;1920;420;510;1490;980;410;2630;755;360;75;580;1480;475;40;290;255;415;45;12;20;5;2320;1455;435;435;1,6;21926
"Oostpoort";1890;940;955;300;220;645;460;265;1155;485;175;75;285;575;140;25;145;60;205;25;15;25;15;935;465;215;255;1,9;8513
"Transvaalbuurt";9345;4585;4755;1275;1300;3595;2230;945;6325;1955;840;220;1370;4115;1595;110;770;640;995;135;14;45;5;5125;2865;1010;1250;1,8;25306
"Transvaalbuurt West";4145;2040;2105;490;590;1545;1060;455;2765;850;420;110;600;1845;700;35;375;280;450;50;12;35;8;2355;1360;460;530;1,7;23624
"Transvaalbuurt Oost";5200;2550;2655;780;710;2045;1170;490;3565;1105;420;115;770;2275;895;75;390;365;545;80;16;15;2;2775;1505;550;725;1,9;26826
"Indische Buurt West";12645;6370;6275;1655;1620;5540;2685;1140;8660;2720;1030;235;2100;5730;2260;140;950;965;1415;185;15;45;4;7060;3930;1570;1560;1,8;26985
"Noordwestkwadrant Indische buurt Noord";3770;1945;1820;440;400;1920;750;255;2730;725;265;45;795;1210;420;35;215;165;375;70;18;20;4;2285;1360;510;420;1,6;22829
"Noordwestkwadrant Indische buurt Zuid";4720;2335;2380;570;680;2215;905;350;3440;870;335;75;830;1890;705;60;310;305;505;75;16;15;3;2700;1520;655;530;1,7;32411
"Zuidwestkwadrant Indische buurt";4155;2085;2070;645;540;1410;1030;535;2490;1125;435;110;480;2630;1135;40;430;495;540;45;10;15;4;2075;1050;405;620;2;26325
"Indische Buurt Oost";10215;5130;5085;1515;1205;3700;2540;1250;6385;2560;945;320;1335;5355;2060;120;890;1050;1235;115;11;90;9;5350;2885;1090;1370;1,9;10876
"Noordoostkwadrant Indische buurt";6060;3040;3020;870;670;2210;1470;845;3790;1450;595;225;785;3130;1130;70;570;585;775;60;10;70;12;3245;1840;630;770;1,8;23626
"Zuidoostkwadrant Indische buurt";3680;1850;1835;580;490;1360;905;345;2300;970;325;85;470;2105;895;45;290;450;430;45;12;15;5;1890;960;400;530;1,9;26606
"Zeeburgerdijk Oost";455;225;230;65;45;125;160;55;290;130;30;10;75;115;40;5;30;20;25;5;13;0;0;210;75;60;75;2,1;5244
"Flevopark";20;10;10;5;0;5;10;0;10;5;0;0;5;0;0;0;0;0;0;0;0;0;0;15;10;0;5;1,5;39
"Oostelijk Havengebied";18545;9340;9205;2915;1890;5635;6485;1615;11835;4905;1500;305;3510;4025;805;170;985;415;1645;215;12;45;2;9320;4045;2430;2845;2;12011
"Oostelijke Handelskade";1465;785;680;220;100;715;365;70;955;385;115;10;385;435;90;15;75;35;225;25;16;5;1;765;315;260;190;1,9;6429
"Rietlanden";2495;1235;1260;385;265;895;720;225;1610;640;185;50;475;695;150;20;175;80;275;40;17;5;3;1280;560;360;365;1,9;9345
"Java-eiland";3140;1550;1585;475;250;910;1120;385;1955;865;245;70;570;435;60;30;95;50;200;20;7;10;3;1625;730;430;460;1,9;18534
"KNSM-eiland";2400;1255;1140;230;200;625;1015;330;1420;695;230;50;460;415;50;20;135;40;170;25;9;10;3;1380;705;380;295;1,7;18953
"Sporenburg";2640;1300;1335;545;355;565;1070;100;1705;770;145;20;490;360;35;30;105;40;150;20;9;0;1;1035;275;230;530;2,5;16975
"Borneo";2875;1420;1450;660;335;820;935;125;1965;695;190;25;470;515;160;30;105;25;190;30;11;5;1;1205;380;265;560;2,4;24238
"Entrepot-Noordwest";1460;730;735;175;160;470;505;150;895;365;170;35;275;540;135;25;140;40;195;20;13;5;3;790;395;175;220;1,8;13424
"Architectenbuurt";1770;890;880;195;185;515;685;200;1115;425;205;30;330;560;135;10;150;90;180;25;13;0;2;1040;560;280;205;1,7;17617
"Bedrijvengebied Veelaan";40;15;25;5;5;5;15;5;25;10;5;0;5;0;0;0;0;0;5;5;26;0;0;25;15;10;5;1,6;870
"Bedrijvengebied Cruquiusweg";110;70;45;5;35;65;10;5;90;15;5;0;20;50;0;0;0;0;40;10;61;0;18;85;65;20;5;1,3;655
"Bedrijvengebied Zeeburgerkade";150;80;70;25;5;55;40;20;90;45;10;0;35;10;0;0;5;0;10;0;13;5;7;90;55;15;15;1,7;2972
"Zeeburgereiland/Nieuwe Diep";3140;1600;1540;290;1070;1255;385;140;2560;415;150;20;735;815;100;45;160;65;450;50;15;5;1;2215;1625;355;240;1,4;1267
"Zeeburgereiland Noordwest";25;15;10;0;0;10;10;5;15;5;0;0;5;0;0;0;0;0;0;0;0;0;0;15;10;0;5;1,6;70
"Zeeburgereiland Zuidoost";495;235;265;5;375;105;5;0;490;5;0;0;140;130;15;20;20;5;75;0;4;0;0;455;415;25;10;1,1;2213
"Zeeburgereiland Zuidwest";315;170;145;10;200;55;40;10;290;15;10;0;50;25;0;5;5;0;15;5;9;0;3;270;240;20;10;1,2;1861
"Nieuwe Diep/Diemerpark";70;40;30;10;10;15;25;10;45;15;5;5;5;5;5;0;0;0;5;0;0;0;0;35;20;5;10;2;59
"RI Oost terrein";2225;1145;1080;260;485;1070;305;105;1720;365;130;10;540;655;85;25;135;55;360;45;19;5;1;1435;930;300;205;1,5;7726
"Zeeburgereiland Noordoost";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
"IJburg West";14820;7395;7420;4050;1660;4410;4010;690;9490;4195;1000;140;2350;5070;1345;205;1340;435;1745;180;12;25;2;5775;1760;1070;2940;2,6;13204
"Steigereiland Noord";1440;730;705;360;145;525;350;55;955;345;125;10;230;550;180;10;170;50;145;20;17;0;2;620;220;125;275;2,3;9921
"Steigereiland Zuid";2665;1355;1315;790;330;685;770;85;1775;730;150;15;350;820;205;45;205;65;300;25;10;0;1;940;270;120;555;2,8;11839
"Haveneiland Zuidwest/Rieteiland West";2815;1430;1390;790;355;585;960;130;1735;920;145;25;450;565;75;30;185;50;230;25;9;5;1;975;190;195;590;2,9;10377
"Haveneiland Noordwest";2510;1230;1280;565;250;865;635;200;1575;685;215;35;480;880;220;50;195;80;340;35;14;5;2;1145;450;265;435;2,2;14803
"Haveneiland Noordoost";5385;2650;2730;1540;575;1745;1295;225;3450;1515;370;50;840;2250;670;65;590;195;730;70;13;10;2;2095;630;370;1090;2,6;17323
"Sloterdijk";510;295;210;40;25;330;85;20;380;90;35;5;120;75;10;0;20;5;35;15;30;5;6;290;150;100;35;1,6;421
"Woon- en Groengebied Sloterdijk";425;225;190;35;20;295;50;15;310;85;25;0;95;40;0;0;5;0;25;15;36;0;2;245;115;95;35;1,7;807
"Bedrijventerrein Sloterdijk I";85;70;20;0;5;40;35;5;70;0;15;0;20;35;5;5;10;5;10;0;0;0;23;40;35;5;0;1,1;126
"Landlust";18560;9185;9375;2770;2355;8105;3845;1485;12675;4115;1415;355;2950;8140;3300;185;870;1820;1960;275;15;75;4;10210;5615;2190;2405;1,8;18164
"Bedrijventerrein Landlust";500;260;240;20;75;330;50;30;395;75;25;5;120;125;20;5;15;20;65;10;16;5;4;345;220;100;25;1,4;4660
"Bosleeuw";5730;2750;2975;865;1000;2200;1215;445;3740;1500;375;120;880;3085;1250;35;245;985;570;60;11;20;3;2920;1500;615;800;2;16804
"Landlust Zuid";3810;1905;1905;545;345;1800;775;340;2660;760;315;85;595;1350;585;40;170;215;350;85;23;15;4;2190;1260;460;475;1,7;19161
"Erasmusparkbuurt Oost";1965;980;985;385;240;795;420;125;1375;440;120;30;370;650;270;15;80;110;175;20;10;5;3;1000;505;215;285;2;23670
"Gibraltarbuurt";4240;2155;2085;570;430;1960;925;355;2945;810;410;75;655;1785;680;60;215;275;555;70;17;20;5;2500;1455;530;515;1,7;21936
"Landlust Noord";2315;1135;1180;380;275;1020;460;185;1560;535;170;50;320;1145;490;40;145;225;250;25;10;5;3;1250;680;265;305;1,8;23613
"Erasmuspark";5850;2825;3020;730;680;2900;1085;455;4215;1155;365;110;1090;1735;575;55;155;470;485;95;17;25;4;3380;1825;895;660;1,7;16128
"Erasmusparkbuurt West";4050;1955;2100;495;470;2040;725;320;2920;795;255;75;795;1125;345;40;100;295;345;75;19;10;3;2375;1295;640;440;1,7;13670
"Robert Scottbuurt Oost";1800;875;925;235;210;865;355;135;1295;355;110;35;290;615;235;10;55;180;140;25;13;10;7;1000;530;255;215;1,8;27126
"De Kolenkit";10080;4990;5090;1815;1685;4075;1685;810;6590;2565;680;240;1280;6030;2745;115;540;1565;1065;135;13;75;7;5140;2890;865;1380;1,9;13983
"Robert Scottbuurt West";2115;995;1125;200;385;960;325;245;1455;395;160;95;340;905;300;25;105;210;260;15;8;20;9;1375;1000;190;185;1,5;14933
"Laan van Spartaan";2100;1030;1070;370;435;925;235;140;1530;420;115;35;410;930;355;40;130;150;255;40;20;20;10;1195;730;205;260;1,7;13150
"Kolenkitbuurt Zuid";2135;1065;1070;350;345;890;365;185;1365;605;115;55;250;1225;570;15;115;360;165;35;15;20;10;1050;550;215;285;2;17508
"Kolenkitbuurt Noord";3720;1895;1825;895;520;1305;755;245;2240;1140;285;50;285;2970;1520;30;190;845;385;45;12;15;4;1520;610;260;645;2,4;12529
"Geuzenbuurt";6900;3330;3565;845;810;3415;1260;575;5120;1245;410;125;1500;1395;340;50;215;210;580;90;14;20;3;4170;2455;965;750;1,7;25044
"Geuzenhofbuurt";1680;790;895;130;165;985;255;135;1350;205;100;25;430;200;30;10;35;20;105;20;11;0;1;1130;715;280;140;1,5;20751
"Trompbuurt";3290;1565;1730;440;430;1575;575;270;2420;620;180;65;690;605;145;20;95;110;235;45;14;15;4;1935;1120;450;365;1,7;26728
"Pieter van der Doesbuurt";1925;980;945;275;205;850;425;165;1350;410;135;30;380;590;170;15;85;80;240;30;15;5;3;1105;625;240;250;1,7;27015
"Van Galenbuurt";7135;3880;3265;835;795;3275;1725;510;5100;1125;800;115;1065;3365;995;160;670;560;970;110;15;20;3;3395;2015;740;635;1,6;24754
"John Franklinbuurt";1930;945;990;230;200;905;430;170;1410;310;175;30;360;660;200;25;85;130;220;35;18;10;4;1210;740;245;220;1,6;27181
"Jan Maijenbuurt";2255;1070;1185;285;270;985;550;170;1565;445;205;35;345;1020;320;30;170;260;250;30;13;5;2;1340;790;285;265;1,7;28797
"Orteliusbuurt Noord";1390;690;700;155;160;645;265;165;955;270;135;35;210;505;155;15;85;105;150;20;14;5;4;850;490;205;150;1,6;32615
"Mercatorpark";1560;1170;385;170;160;735;480;10;1170;100;285;5;150;1170;325;95;335;75;350;25;17;5;2;0;0;0;0;;16190
"Hoofdweg e.o.";10415;5180;5240;1385;1090;4780;2205;955;7205;2025;950;235;1815;3790;1205;115;530;825;1115;155;15;80;8;6055;3490;1335;1230;1,7;26086
"Balboaplein e.o.";3120;1555;1570;445;375;1475;620;210;2200;570;285;60;495;1290;375;35;165;365;355;45;15;10;4;1785;1010;385;385;1,8;26738
"Columbusplein e.o.";3490;1800;1695;515;375;1465;815;330;2320;795;320;60;515;1500;545;40;190;290;430;45;13;15;5;1990;1135;410;450;1,8;24163
"Orteliusbuurt Midden";1940;940;1005;235;160;970;415;160;1385;355;175;25;415;515;165;25;80;85;165;35;17;5;3;1175;670;285;220;1,7;31875
"Orteliusbuurt Zuid";1860;885;970;195;185;870;360;255;1295;305;170;90;385;490;120;25;95;90;165;30;16;45;24;1110;680;260;175;1,6;24130
"Westindische Buurt";6945;3340;3605;890;735;3375;1350;585;5090;1270;475;115;1485;1340;270;65;210;225;570;160;23;30;4;4085;2245;1035;805;1,7;21808
"Paramariboplein e.o.";3880;1865;2005;525;405;1940;725;280;2870;695;240;65;870;795;185;45;100;130;335;95;24;20;5;2270;1270;545;460;1,7;24803
"Postjeskade e.o.";3070;1475;1595;370;330;1435;630;305;2220;575;235;50;615;545;85;25;110;90;240;70;21;10;3;1815;975;495;350;1,7;18922
"Hoofddorppleinbuurt";11835;5490;6350;1435;1240;5475;2580;1115;8550;2255;815;220;2690;1590;225;80;295;135;845;205;18;40;3;7140;4055;1745;1340;1,7;13948
"Surinamepleinbuurt";1545;660;880;185;175;650;330;200;1095;330;95;25;330;150;15;10;25;10;90;25;16;5;3;945;585;190;170;1,6;18330
"Westlandgrachtbuurt";3595;1690;1905;470;310;1685;790;345;2565;705;255;75;760;505;70;25;110;65;240;70;19;10;3;2135;1190;525;425;1,7;22678
"Aalsmeerwegbuurt West";2535;1175;1365;275;265;1335;480;180;1905;430;165;40;590;370;45;15;60;20;230;60;22;10;4;1540;840;445;260;1,6;25911
"Aalsmeerwegbuurt Oost";2195;1035;1155;255;215;990;530;205;1560;430;170;35;495;325;70;15;65;25;145;25;12;10;5;1320;720;335;260;1,7;19435
"Legmeerpleinbuurt";1700;795;905;230;155;760;390;165;1220;325;120;40;380;210;25;10;40;10;120;30;17;5;2;1005;560;240;205;1,7;24491
"Bedrijventerrein Schinkel";265;135;130;15;115;55;60;20;210;35;15;5;135;20;0;0;5;0;15;0;4;0;4;200;170;10;20;1,3;817
"Schinkelbuurt";3820;1815;2005;385;405;1800;885;340;2810;625;320;65;900;695;95;25;180;75;325;50;13;20;5;2445;1520;545;380;1,6;13187
"Schinkelbuurt Noord";2350;1120;1225;235;255;1150;530;180;1760;390;175;35;575;320;45;15;60;30;165;35;14;10;3;1500;905;375;215;1,6;23525
"Schinkelbuurt Zuid";1475;695;775;150;150;655;355;160;1055;230;150;35;320;375;50;10;120;35;155;15;11;10;7;945;610;175;160;1,6;7748
"Willemspark";5500;2715;2785;1085;560;1635;1505;715;3265;1765;365;110;1675;640;50;20;75;65;425;65;12;20;3;2630;1160;625;850;2,1;8617
"Valeriusbuurt Oost";1360;690;675;320;140;325;400;175;750;480;100;30;475;120;5;5;20;10;90;15;12;0;2;595;230;125;240;2,3;11848
"Valeriusbuurt West";2560;1250;1315;505;225;830;660;335;1550;795;165;55;735;365;40;15;40;45;230;40;14;10;4;1235;535;315;385;2,1;18857
"Willemsparkbuurt Noord";1580;775;800;260;200;475;440;205;965;490;100;30;470;145;5;5;25;10;105;15;8;5;4;800;390;180;225;2;8391
"Vondelpark West";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
"Museumkwartier";12630;6145;6480;1920;1165;3825;3280;2435;7130;4210;870;415;3785;1195;35;90;160;85;825;135;11;70;5;6815;3560;1660;1600;1,8;9613
"Johannnes Vermeerbuurt";1470;710;760;225;130;460;405;255;790;530;95;55;465;175;5;25;20;10;115;25;16;5;3;770;370;195;200;1,9;9519
"P.C. Hooftbuurt";770;385;380;95;60;280;205;130;465;240;50;15;315;80;5;5;5;15;60;10;14;5;7;425;235;110;80;1,7;6908
"Concertgebouwbuurt";1855;920;935;320;195;515;505;315;1070;625;120;40;555;160;5;10;25;10;115;20;11;10;4;975;505;215;250;1,9;14051
"Cornelis Schuytbuurt";2915;1455;1460;530;320;750;855;455;1610;1065;175;70;975;245;0;15;35;15;180;25;9;15;6;1450;670;355;425;2;14954
"Banpleinbuurt";820;385;430;145;90;125;240;215;385;320;60;50;210;60;5;0;15;0;35;5;4;10;9;365;160;100;115;2,1;7959
"Hondecoeterbuurt";2025;965;1065;340;190;670;480;355;1210;630;125;65;610;200;5;15;20;15;150;25;11;5;4;1075;555;255;265;1,9;16309
"Harmoniehofbuurt";1375;630;750;115;70;290;310;590;590;525;155;105;245;95;5;5;25;0;60;5;5;15;9;875;535;215;120;1,6;14052
"Museumplein";5;5;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;143;0;0;5;5;0;5;1,4;
"Vondelpark Oost";0;5;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;
"Duivelseiland";1385;685;700;150;110;730;285;115;1010;285;80;25;405;185;10;15;25;20;120;20;14;5;6;885;535;210;140;1,6;23712
"Stadionbuurt";11790;5500;6290;1485;1180;4480;2880;1765;7640;2585;1220;350;2485;2640;550;155;565;280;1095;170;15;80;7;6960;3925;1500;1540;1,7;12319
"Bertelmanpleinbuurt";1085;500;590;85;130;355;290;220;670;235;140;40;170;330;105;20;75;50;80;10;10;10;9;670;395;155;115;1,6;19975
"Marathonbuurt Oost";1480;705;775;155;170;455;435;265;930;310;190;50;265;355;70;15;85;35;150;10;9;10;8;925;565;155;200;1,6;9915
"Marathonbuurt West";2410;1145;1260;240;240;835;705;385;1580;425;340;65;415;790;195;40;205;75;280;25;11;20;8;1540;985;265;290;1,6;20397
"Olympisch Stadion e.o.";2260;1060;1205;425;150;880;465;340;1365;630;195;75;625;525;110;35;110;45;230;50;21;20;8;1150;500;280;370;2;10816
"IJsbaanpad e.o.";405;200;205;95;40;75;135;55;255;115;25;15;65;15;0;5;5;0;5;5;7;0;2;170;55;35;75;2,4;1786
"Van Tuyllbuurt";4150;1890;2255;485;445;1875;850;495;2835;875;335;110;945;625;70;45;95;75;345;70;17;15;4;2515;1420;600;490;1,7;20802
"Apollobuurt";8640;4085;4560;1750;900;2220;2220;1550;4605;3160;580;300;2625;855;20;50;90;90;605;90;10;65;7;4115;1830;935;1350;2,1;9775
"Diepenbrockbuurt";805;385;420;185;90;170;220;140;425;325;35;25;190;80;0;0;15;10;50;5;10;10;10;335;125;80;135;2,4;4177
"Beethovenbuurt";1220;575;650;235;145;265;325;245;605;470;85;65;380;130;0;10;15;10;90;10;9;15;11;580;250;140;190;2,1;8376
"Hiltonbuurt";90;45;45;25;15;10;35;5;45;30;10;5;10;5;0;0;0;0;5;0;0;0;0;30;5;10;20;2,9;920
"Minervabuurt Noord";1435;690;750;310;135;345;390;250;760;550;85;40;455;135;5;5;15;15;100;10;8;10;8;645;265;145;235;2,2;9963
"Minervabuurt Midden";2450;1140;1310;480;300;615;630;420;1305;885;175;85;815;245;5;20;20;25;175;20;9;15;6;1180;535;265;385;2,1;16265
"Minervabuurt Zuid";2645;1260;1385;505;220;815;615;485;1470;910;190;85;770;265;5;15;25;30;185;35;15;15;6;1345;660;300;385;2;17128
"IJburg Oost";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
"Strandeiland";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
"Middeneiland Zuidoost";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
"Middeneiland Zuidwest";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
"Buiteneiland";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
"Centrumeiland";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
"IJburg Zuid";8095;3900;4205;2505;780;2840;1700;270;5365;2195;480;65;1290;3035;840;115;685;360;1040;120;15;15;2;3090;965;490;1645;2,6;12215
"Rieteiland Oost";265;125;145;100;20;60;85;5;170;90;5;0;40;35;0;5;0;5;25;5;22;0;0;80;10;15;60;3,3;2579
"Haveneiland Oost";6015;2930;3085;1990;560;2055;1265;155;4005;1650;320;40;970;2050;580;80;425;230;735;95;16;15;2;2190;620;315;1255;2,7;13533
"Haveneiland Noord";1815;840;970;420;200;725;350;115;1190;450;145;30;285;945;260;25;260;125;275;20;12;5;2;820;335;160;325;2,2;15845
"Scheldebuurt";15115;6945;8170;2160;1550;6205;3075;2130;10130;3340;1175;480;3180;1755;270;115;335;135;905;255;17;100;6;8535;4630;2030;1875;1,8;15283
"Wielingenbuurt";3060;1390;1665;455;310;1215;690;380;2000;775;215;65;675;295;20;20;45;25;180;50;16;10;3;1690;880;405;405;1,8;21889
"Scheldebuurt West";4420;2030;2385;625;480;1765;910;640;2950;945;375;140;920;520;80;25;100;45;265;70;17;15;4;2515;1345;585;580;1,8;17559
"Scheldebuurt Midden";3200;1460;1740;485;375;1305;605;425;2180;740;215;70;660;310;50;25;55;20;160;55;18;10;4;1780;945;420;405;1,8;19986
"Scheldebuurt Oost";2380;1095;1285;335;290;985;480;285;1645;500;175;60;535;295;45;20;50;25;160;40;16;10;5;1350;730;335;285;1,8;16939
"Veluwebuurt";1490;695;800;180;70;545;320;380;945;245;175;135;240;265;55;20;75;15;105;25;16;50;32;895;590;165;140;1,5;11393
"Kop Zuidas";570;280;295;80;20;390;60;25;410;130;20;5;150;75;10;5;10;5;45;15;28;0;0;310;140;115;65;1,8;3421
"IJselbuurt";5385;2575;2810;575;680;2245;1205;675;3775;975;510;130;1070;1110;280;70;240;120;405;75;14;25;5;3360;2045;725;600;1,6;21012
"IJselbuurt West";2425;1165;1260;240;250;1030;565;335;1710;405;250;60;475;465;90;35;105;40;195;40;16;15;6;1585;1010;330;245;1,5;19596
"IJselbuurt Oost";2960;1410;1555;335;430;1220;635;340;2065;575;260;70;595;645;190;35;135;75;205;35;12;10;4;1775;1035;390;355;1,7;22332
"Rijnbuurt";9165;4305;4855;960;1065;3735;2110;1290;6410;1575;925;250;1705;1750;375;105;365;135;770;125;14;50;6;5830;3575;1270;985;1,6;9494
"Kromme Mijdrechtbuurt";2490;1165;1325;250;305;1010;580;345;1765;410;255;65;460;530;115;30;95;50;240;35;15;15;7;1615;1015;340;265;1,5;14944
"Rijnbuurt Oost";2750;1305;1445;290;350;1220;575;320;1980;475;230;65;505;385;65;35;80;35;175;45;16;10;3;1715;1015;410;290;1,6;14385
"Rijnbuurt Midden";2185;1000;1185;210;270;970;445;280;1550;405;170;55;440;280;55;15;65;15;130;25;12;15;6;1375;810;355;210;1,6;8442
"Rijnbuurt West";1685;810;880;195;140;525;490;340;1085;275;260;60;290;555;150;25;125;30;225;20;11;15;8;1105;730;155;215;1,5;21276
"Zorgvlied";50;25;25;10;0;10;15;10;20;15;10;0;10;0;0;0;0;0;0;0;0;0;0;25;10;5;10;2;175
"Frankendael";10800;5375;5425;1415;1515;3810;2435;1625;7150;2345;930;375;1875;2745;715;125;615;220;1070;125;12;120;11;6115;3665;1215;1235;1,7;6828
"De Eenhoorn";2420;1265;1150;155;740;1230;230;65;2110;190;120;5;590;675;120;35;135;45;340;30;12;5;2;1615;1280;250;80;1,3;13790
"Julianapark";775;395;380;90;40;340;185;120;485;210;55;20;160;120;0;0;30;30;55;15;18;5;4;430;195;145;90;1,8;4217
