"Wijken en buurten";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Geslacht/Mannen (aantal)";"Bevolking/Geslacht/Vrouwen (aantal)";"Bevolking/Leeftijdsgroepen/0 tot 15 jaar (aantal)";"Bevolking/Leeftijdsgroepen/15 tot 25 jaar (aantal)";"Bevolking/Leeftijdsgroepen/25 tot 45 jaar (aantal)";"Bevolking/Leeftijdsgroepen/45 tot 65 jaar (aantal)";"Bevolking/Leeftijdsgroepen/65 jaar of ouder (aantal)";"Bevolking/Burgerlijke staat/Ongehuwd (aantal)";"Bevolking/Burgerlijke staat/Gehuwd (aantal)";"Bevolking/Burgerlijke staat/Gescheiden (aantal)";"Bevolking/Burgerlijke staat/Verweduwd (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Nederland (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Europa (exclusief Nederland)  (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Buiten Europa  (aantal)";"Bevolking/Bevolking naar herkomst/Geboren in Nederland/Nederland (aantal)";"Bevolking/Bevolking naar herkomst/Geboren in Nederland/Europa (exclusief Nederland)  (aantal)";"Bevolking/Bevolking naar herkomst/Geboren in Nederland/Buiten Europa  (aantal)";"Bevolking/Bevolking naar herkomst/Geboren buiten Nederland/Europa (exclusief Nederland) (aantal)";"Bevolking/Bevolking naar herkomst/Geboren buiten Nederland/Buiten Europa (aantal)";"Bevolking/Geboorte en sterfte/Geboorte totaal (aantal)";"Bevolking/Geboorte en sterfte/Geboorte relatief (per 1 000 inwoners)";"Bevolking/Geboorte en sterfte/Sterfte totaal (aantal)";"Bevolking/Geboorte en sterfte/Sterfte relatief (per 1 000 inwoners)";"Bevolking/Particuliere huishoudens/Huishoudens totaal (aantal)";"Bevolking/Particuliere huishoudens/Eenpersoonshuishoudens (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens zonder kinderen (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens met kinderen (aantal)";"Bevolking/Particuliere huishoudens/Gemiddelde huishoudensgrootte (aantal)";"Bevolking/Bevolkingsdichtheid (aantal inwoners per km²)"
"Vondelparkbuurt-Oost";1005;550;455;80;145;370;255;155;660;255;65;30;415;285;300;420;40;85;250;215;5;5;5;9;625;385;150;95;1,6;7998
"Sloterdijk Nieuw-West";1185;680;505;65;440;560;100;15;1035;110;40;0;195;400;595;190;30;180;370;410;5;5;5;3;960;815;105;40;1,2;165
"Sloterdijk De Heining";30;15;10;5;0;5;5;5;10;10;5;0;20;5;0;20;5;0;5;0;0;38;0;0;10;5;5;0;2,6;26
"Sloterdijk Poort-Noord";15;15;5;0;0;0;15;0;15;0;0;0;10;10;5;5;0;0;5;0;0;0;0;0;15;15;0;0;1;12
"Sloterdijk Poort-Zuid";115;90;25;5;65;35;15;5;100;10;10;0;30;20;70;25;0;35;15;35;0;9;0;0;105;95;10;0;1,1;80
"Sloterdijk Rhônepark";0;0;0;0;5;0;0;0;5;0;0;0;5;0;0;5;0;0;0;0;0;0;0;0;5;5;0;0;1,5;
"Sloterdijk Donauhoek";10;10;0;0;0;10;0;0;5;5;0;0;0;10;5;0;0;0;5;5;0;0;0;0;10;10;0;0;1,1;78
"Bretten-West";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
"Bretten-Oost";0;0;5;0;0;0;0;0;0;0;0;0;5;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;2;
"Sloterdijk Stationskwartier";1010;555;460;60;375;500;65;5;895;90;25;0;135;365;515;130;25;145;340;370;5;4;0;3;815;690;95;35;1,2;1185
"Geuzenveld";18960;9575;9390;4040;2535;5860;4240;2285;10440;6450;1520;555;3865;1760;13340;3870;430;7150;1330;6190;220;12;125;7;7980;3265;1500;3220;2,3;5446
"Osdorper Binnenpolder";25;15;10;0;5;5;10;10;10;15;0;0;15;0;5;15;0;5;5;5;0;0;0;0;15;5;5;0;2,1;15
"De Eendracht";2425;1210;1215;470;250;630;635;450;1105;1075;155;90;870;215;1335;875;65;775;145;560;20;9;10;5;1010;310;285;415;2,4;7866
"Ruys de Beerenbrouckbuurt";6105;3100;3005;1330;830;1865;1380;700;3390;2030;515;175;1070;485;4555;1070;125;2395;360;2160;70;11;40;6;2545;1090;420;1040;2,4;15213
"Eendrachtspark";295;175;125;35;35;120;85;20;190;75;25;5;85;35;175;85;10;90;25;80;0;0;0;0;175;115;25;35;1,7;2409
"Van Tijenbuurt";2910;1515;1395;670;435;860;575;365;1570;1075;195;70;640;325;1950;640;90;1115;235;830;30;11;20;6;1140;425;220;500;2,5;10248
"Dudokbuurt";2755;1350;1405;645;375;965;550;225;1675;780;235;70;345;315;2100;350;70;1060;250;1035;35;13;10;4;1210;535;200;475;2,3;20396
"Bakemabuurt";2920;1445;1475;590;430;1015;620;265;1700;900;240;75;445;295;2180;445;40;1175;255;1005;45;15;35;11;1185;485;215;495;2,3;15537
"Wegener Sleeswijkbuurt";1520;770;755;290;185;400;390;250;790;510;160;70;390;90;1040;390;30;540;60;505;15;10;15;11;695;305;125;265;2,2;8120
"Slotermeer-West";10705;5425;5275;1950;1635;3430;2445;1240;6285;3230;920;270;1965;1255;7480;1965;245;3620;1010;3860;130;12;50;5;5055;2555;820;1685;2,1;12189
"Jan de Louterbuurt";3435;1740;1695;540;480;1170;775;475;2050;1020;270;95;750;750;1930;755;110;845;640;1090;35;10;20;6;1780;955;345;480;1,9;10035
"Lodewijk van Deysselbuurt";3440;1740;1695;660;530;1050;830;360;1965;1045;355;70;395;210;2835;395;50;1375;165;1460;45;13;20;6;1465;650;220;590;2,3;15293
"Confuciusbuurt";3830;1945;1885;750;625;1210;845;410;2270;1155;295;110;820;295;2720;825;90;1405;205;1310;55;14;5;2;1810;950;255;615;2,1;12317
"Slotermeer-Noordoost";9205;4715;4490;1800;1240;2975;2220;965;5575;2570;845;215;2070;1030;6105;2070;245;2830;785;3275;110;12;45;5;4435;2275;740;1425;2,1;9557
"Arondeusbuurt";2795;1475;1325;660;395;860;615;260;1750;745;250;50;515;310;1970;515;75;980;235;990;30;11;15;5;1275;645;165;460;2,2;12397
"Coronelbuurt";1510;755;755;255;220;505;380;140;1010;390;85;25;630;325;555;630;85;240;240;315;5;5;5;5;760;395;155;210;2;7860
"Meerwaldtbuurt";1985;1030;960;340;245;610;510;280;1105;585;225;70;430;125;1430;435;40;630;85;800;20;11;15;8;1000;540;160;300;2;7543
"Dobbebuurt";2910;1460;1450;540;380;995;710;280;1710;855;280;70;490;270;2155;490;45;985;225;1170;50;17;10;3;1410;700;255;455;2,1;10321
"Slotermeer-Zuidoost";6755;3475;3285;1080;920;2445;1490;830;4280;1685;650;145;2040;910;3810;2040;215;1735;695;2070;75;12;45;7;3755;2200;665;885;1,8;4936
"Dichtersbuurt";1050;595;450;125;90;370;250;210;575;275;165;30;205;105;740;200;25;290;80;450;15;11;15;14;625;410;90;125;1,7;9485
"Louis Couperusbuurt";2330;1215;1115;410;355;860;470;230;1500;555;220;50;545;255;1530;545;75;785;180;745;40;18;20;9;1315;810;205;305;1,8;7905
"Noordoever Sloterplas";3385;1665;1715;545;470;1210;770;385;2200;855;260;65;1300;545;1540;1295;115;660;435;880;25;7;10;4;1815;985;370;460;1,9;8440
"Sloterpark";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
"Lutkemeer/Ookmeer";1250;725;525;155;170;415;325;190;695;450;65;40;580;95;575;580;30;105;65;475;15;12;5;6;395;155;115;130;2,1;238
"Osdorper Bovenpolder";760;405;360;100;80;180;235;170;380;305;50;30;530;80;150;530;30;80;55;75;5;8;5;7;355;135;110;120;2,1;315
"Ookmeer";420;285;135;50;70;225;65;10;275;125;15;5;0;5;410;0;0;20;5;390;10;22;0;2;5;5;0;0;1,2;597
"Bedrijvenpark Lutkemeer";70;40;30;10;15;15;25;10;40;25;0;5;45;10;20;50;0;10;10;5;0;0;5;29;30;20;5;10;2,1;33
"De Aker";14435;7085;7350;2485;2100;3600;4220;2040;7465;5495;1010;470;5520;1480;7435;5520;470;3955;1010;3480;150;10;65;5;6070;2095;1355;2625;2,4;9561
"Middelveldsche Akerpolder";4000;1900;2095;860;430;1095;910;700;2085;1440;330;150;1550;375;2080;1545;135;1235;240;845;50;12;20;6;1715;650;395;675;2,3;11901
"De Aker-West";4570;2255;2315;700;655;1155;1420;640;2325;1755;325;165;1755;465;2345;1755;135;1175;330;1170;50;11;20;4;1985;705;460;825;2,3;8793
"De Aker-Oost";5865;2930;2940;920;1010;1350;1890;700;3055;2305;355;155;2220;640;3005;2220;200;1540;440;1465;55;9;25;4;2370;740;505;1125;2,5;8969
"De Punt";6330;3350;2975;1085;990;2065;1380;815;3815;1795;540;185;1545;1030;3755;1545;195;1905;835;1850;70;11;40;7;3010;1570;535;910;2;10589
"Bedrijvencentrum Osdorp";115;105;15;0;0;35;65;10;90;0;25;5;40;10;65;40;5;20;5;45;0;0;5;42;5;5;0;0;1;1000
"Dijkgraafpleinbuurt";6210;3250;2965;1085;990;2025;1310;800;3730;1785;515;185;1510;1015;3685;1505;190;1885;830;1805;70;11;40;6;3010;1565;535;910;2;12946
"Osdorp-Midden";15480;7660;7820;2885;2255;5025;3435;1880;8875;4660;1375;565;2955;1935;10590;2955;400;5095;1535;5495;175;11;165;11;7210;3410;1320;2475;2,1;14995
"Reimerswaal";2800;1315;1485;520;350;765;600;565;1430;845;305;215;525;160;2110;525;50;1035;105;1075;25;10;90;32;1205;595;150;465;2,2;13271
"Botteskerkbuurt";3410;1690;1715;755;465;1080;730;375;1955;1030;315;110;620;395;2385;625;105;1200;295;1185;45;14;20;6;1575;720;280;575;2,2;14290
"Zuidwestkwadrant-Noord";3100;1545;1550;565;480;1000;615;435;1785;940;270;110;520;425;2145;525;65;985;360;1160;30;10;30;10;1450;685;300;465;2,1;13398
"Zuidwestkwadrant-Zuid";6175;3110;3065;1040;970;2170;1490;505;3705;1850;490;125;1280;950;3945;1275;180;1875;775;2065;65;11;20;4;2980;1415;590;975;2,1;17558
"Osdorp-Oost";17645;8725;8915;2770;2425;5685;3730;3035;10265;4920;1675;785;5195;2450;9995;5195;535;4670;1915;5330;205;12;145;8;9430;5155;1890;2385;1,9;11194
"Wildeman";4845;2390;2460;890;575;1360;1135;890;2625;1375;585;260;1065;490;3290;1060;115;1475;380;1815;75;15;40;8;2495;1325;395;780;1,9;15350
"Meer en Oever";3195;1655;1540;445;345;1070;745;600;1720;1035;320;125;970;545;1685;965;125;750;420;935;40;12;30;9;1670;815;445;410;1,9;15374
"Osdorpplein e.o.";4270;2090;2175;720;695;1720;695;440;2775;1065;315;115;975;645;2645;975;100;1330;550;1320;60;14;25;6;2195;1165;480;550;1,9;14187
"Calandlaan/Lelylaan";1245;640;605;180;110;335;370;250;710;350;135;50;425;130;690;430;45;355;85;340;5;3;10;9;680;385;125;170;1,8;4720
"Osdorp-Zuidoost";4080;1950;2130;535;700;1200;785;860;2430;1090;325;230;1760;630;1685;1765;155;770;475;915;35;8;35;9;2395;1470;450;480;1,7;8377
"Slotervaart-Noord";7805;3870;3935;1410;1045;2090;1985;1275;4410;2340;710;345;2785;1085;3935;2780;300;1880;780;2055;65;8;95;12;3640;1650;730;1260;2,1;7030
"Oostoever Sloterplas";2440;1175;1260;305;300;500;735;600;1185;920;185;145;1245;330;865;1245;115;355;215;505;15;6;25;9;1185;495;325;365;2,1;6787
"Emanuel van Meterenbuurt";2255;1130;1125;445;285;595;530;405;1290;635;215;120;955;400;900;955;130;420;270;480;10;6;55;25;1025;485;190;350;2,1;5101
"Jacob Geelbuurt";3115;1565;1545;660;460;1000;725;270;1935;790;310;75;585;355;2170;580;65;1095;295;1075;30;11;15;5;1430;675;215;540;2,1;10077
"Overtoomse Veld";14670;7185;7490;2215;2820;6120;2420;1095;10080;3520;815;255;3710;2780;8180;3710;390;3765;2395;4410;160;11;50;3;7880;4525;1450;1905;1,9;10114
"Lucas/Andreasziekenhuis e.o.";1245;625;620;20;705;495;20;5;1180;60;5;0;210;550;490;210;10;85;535;400;0;2;0;0;1120;1020;85;20;1,1;6927
"Overtoomse Veld-Noord";6030;2990;3040;1145;840;2230;1260;550;3655;1820;415;140;1230;670;4135;1230;150;1995;515;2140;75;12;25;5;2550;990;545;1015;2,3;17938
"Rembrandtpark-Noord";1015;475;540;70;395;400;85;65;875;85;45;10;515;270;230;515;40;95;230;135;10;9;0;0;780;610;110;55;1,3;3680
"Overtoomse Veld-Zuid";4545;2195;2345;670;635;2195;695;345;3150;1060;255;80;1325;730;2490;1325;125;1240;600;1255;50;11;15;3;2460;1385;525;550;1,8;15150
"Rembrandtpark-Zuid";880;465;415;85;70;525;125;80;610;230;30;15;360;260;260;360;45;65;215;195;15;17;5;6;550;320;155;80;1,6;3235
"Johan Jongkindbuurt";955;440;520;225;165;280;230;50;610;265;70;10;70;310;575;70;10;280;295;290;10;10;0;2;415;205;20;195;2,3;11077
"Slotervaart-Zuid";11085;5380;5705;1785;1945;3825;2055;1475;6970;2850;915;355;3180;1660;6250;3180;345;2930;1310;3325;120;11;110;10;5875;3315;1065;1490;1,9;8873
"Louis Crispijnbuurt";3240;1550;1690;505;540;890;675;625;1900;900;305;130;1065;435;1740;1065;95;820;340;920;20;7;35;12;1700;950;310;445;1,9;9029
"Jacques Veldmanbuurt";3760;1835;1925;530;630;1535;645;420;2455;955;265;95;1115;690;1960;1115;125;825;565;1140;35;10;20;6;2130;1210;460;455;1,8;12756
"Medisch Centrum Slotervaart";775;380;395;40;355;270;55;50;660;40;60;15;230;215;325;235;20;150;190;180;5;5;25;30;630;575;25;30;1,1;2661
"Staalmanbuurt";3315;1615;1695;700;425;1130;680;375;1955;955;280;120;770;320;2220;775;105;1135;220;1085;55;17;30;8;1415;580;275;560;2,3;10846
"Westlandgracht";13195;6740;6455;1285;2875;6430;1780;830;10035;2355;675;130;3845;3190;6160;3845;475;2205;2720;3955;130;10;45;3;8585;5770;1715;1100;1,5;9340
"Schipluidenbuurt";1635;775;860;75;445;1025;65;20;1485;120;20;5;385;630;615;385;40;170;590;450;5;5;0;1;1315;1050;200;60;1,2;14465
"Koningin Wilhelminaplein";2975;1610;1360;250;230;1940;370;185;2095;745;100;25;820;965;1180;820;115;260;850;925;35;12;10;3;1835;980;625;230;1,6;12109
"Andreasterrein";1275;625;645;225;155;405;325;150;760;405;90;20;460;265;545;455;65;240;205;310;15;9;0;3;575;230;145;195;2,2;8823
"Delflandpleinbuurt-West";4740;2425;2315;490;1155;2130;630;330;3630;760;295;55;1505;920;2310;1510;180;1125;740;1185;60;12;15;3;3160;2210;535;415;1,5;14679
"Delflandpleinbuurt-Oost";2130;1040;1090;235;660;705;385;140;1625;320;165;20;535;355;1235;535;60;355;290;880;15;8;10;6;1305;955;165;185;1,5;12442
"Riekerhaven";450;270;185;10;225;220;0;0;445;0;5;0;135;50;270;135;15;55;35;210;0;2;0;0;395;345;45;10;1,1;1085
"Sloten/Nieuw-Sloten";14720;7255;7460;2180;1625;4090;4240;2580;7605;5555;1065;495;7150;1875;5690;7150;640;2810;1240;2885;140;9;75;5;6735;2445;1955;2340;2,2;3157
"Dorp Sloten";720;360;355;95;80;160;240;145;350;280;60;35;550;75;95;550;20;50;50;45;5;4;5;7;350;135;110;100;2,1;1345
"Nieuw-Sloten-Noordwest";3055;1460;1595;495;350;765;910;535;1515;1170;265;105;1315;330;1405;1320;135;725;195;680;30;9;15;5;1285;405;335;550;2,4;8838
"Nieuw-Sloten-Noordoost";3170;1555;1610;480;325;805;860;700;1510;1270;230;160;1520;335;1320;1520;120;700;210;620;35;10;25;8;1445;530;435;480;2,2;7233
"Nieuw-Sloten-Zuidwest";2220;1105;1110;320;300;470;820;305;1085;975;130;30;1190;280;750;1185;110;335;175;410;10;6;5;3;890;195;280;415;2,5;10267
"Belgiëplein e.o.";1165;555;615;95;115;325;275;360;540;435;115;70;445;205;515;445;45;150;160;365;10;12;15;14;685;360;210;120;1,7;14075
"Nieuw-Sloten-Zuidoost";2185;1095;1090;425;250;680;595;240;1290;695;150;45;965;290;925;970;90;530;200;400;30;14;5;2;930;315;215;400;2,3;9606
"Sloterweg e.o.";335;160;175;70;40;75;85;60;160;150;15;10;190;30;115;190;20;65;10;55;0;3;5;9;125;30;40;55;2,6;423
"Park Haagseweg";995;505;490;140;80;225;330;215;475;445;50;25;595;165;235;595;70;100;95;135;5;7;0;2;450;130;165;150;2,2;8769
"Riekerpolder";705;365;340;40;65;550;40;5;555;110;40;5;260;145;295;260;20;135;130;165;10;13;0;0;470;275;150;40;1,5;1149
"Nieuwe Meer";165;90;75;20;25;35;75;15;120;25;15;0;120;20;25;120;10;15;10;10;0;0;0;6;100;65;5;25;1,7;128
"Hoofddorppleinbuurt";11765;5445;6315;1320;1220;5460;2530;1230;8450;2330;770;215;6550;2335;2880;6550;585;1080;1745;1800;170;14;40;3;7035;3855;1915;1270;1,7;13851
"Westlandgrachtbuurt";3625;1710;1910;425;330;1725;760;385;2585;740;240;65;1990;705;930;1990;175;350;530;580;55;14;10;3;2115;1115;590;405;1,7;22835
"Surinamepleinbuurt";1535;680;860;205;150;670;320;195;1075;345;85;35;930;285;330;925;95;140;185;190;15;12;10;6;905;520;205;175;1,7;18246
"Legmeerpleinbuurt";1645;750;890;205;160;695;380;200;1160;330;115;35;940;330;380;935;90;150;245;225;15;11;5;2;955;500;270;185;1,7;23576
"Aalsmeerwegbuurt-West";2530;1135;1395;280;235;1315;500;205;1860;475;155;35;1430;490;600;1435;115;220;380;385;45;17;10;4;1525;810;460;250;1,7;25832
"Aalsmeerwegbuurt-Oost";2165;1045;1120;200;225;990;515;235;1550;405;165;40;1190;425;550;1190;110;215;315;340;40;18;5;2;1320;720;375;230;1,6;19126
"Bedrijventerrein Schinkel";270;130;140;5;120;75;45;15;225;30;5;5;75;95;95;80;5;5;90;90;0;0;0;0;215;190;10;20;1,2;823
"Schinkelbuurt";3930;1870;2065;315;445;1840;885;450;2870;660;335;65;1920;855;1155;1920;205;420;650;735;45;12;15;3;2550;1585;620;350;1,5;13546
"Schinkelbuurt-Noord";2455;1175;1275;190;285;1210;545;220;1830;425;170;30;1230;580;640;1230;135;220;445;420;35;15;5;3;1575;940;435;200;1,5;24505
"Schinkelbuurt-Zuid";1480;695;780;130;160;625;340;230;1040;235;165;35;690;270;515;690;70;195;200;320;10;7;5;3;980;645;190;145;1,5;7775
"Willemspark";5560;2740;2820;920;630;1695;1540;775;3295;1820;340;105;2735;1360;1470;2730;325;480;1030;990;65;12;25;4;2710;1170;715;820;2,1;8699
"Vondelpark-West";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
"Willemsparkbuurt-Noord";1550;750;805;200;225;470;445;205;935;490;90;35;805;365;380;805;95;115;275;265;15;12;10;6;795;375;210;210;1,9;8206
"Valeriusbuurt-West";2615;1275;1340;450;240;890;660;380;1600;810;160;45;1275;620;720;1270;140;260;485;455;35;13;10;3;1275;550;350;380;2;19243
"Valeriusbuurt-Oost";1400;715;685;270;160;335;435;190;760;525;90;30;660;375;365;660;95;100;280;265;15;10;5;4;640;250;155;230;2,2;12161
"Museumkwartier";12640;6165;6475;1665;1405;3800;3285;2485;7320;4105;800;415;6695;2910;3040;6690;730;1035;2180;2000;115;9;80;6;6865;3550;1790;1525;1,8;9620
"Vondelpark-Oost";0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
"Cornelis Schuytbuurt";2960;1435;1525;505;380;805;840;440;1680;1065;155;65;1470;745;745;1465;180;225;565;520;25;8;15;5;1440;635;380;420;2,1;15184
"Concertgebouwbuurt";1865;940;925;280;235;535;520;290;1105;590;120;50;970;405;490;970;90;155;315;340;20;11;10;5;980;515;195;265;1,9;14129
"P.C. Hooftbuurt";770;390;380;80;75;265;225;130;475;240;40;15;345;235;190;345;40;60;195;130;10;10;10;8;445;245;125;75;1,7;6940
"Museumplein";10;5;0;0;0;0;0;5;5;5;0;0;5;5;0;5;0;0;0;0;0;0;0;0;5;0;5;5;1,6;
"Banpleinbuurt";765;365;400;95;115;130;230;200;370;310;60;30;470;150;145;475;50;60;100;85;5;4;5;4;375;170;100;110;2;7464
"Hondecoeterbuurt";2060;1000;1060;300;225;670;495;365;1265;610;115;80;1080;460;520;1085;120;170;340;350;20;10;15;7;1115;555;300;255;1,9;16566
"Johannes Vermeerbuurt";1495;745;750;190;150;495;400;270;865;500;80;50;740;395;365;740;80;130;310;235;20;13;10;9;810;410;230;180;1,8;9689
"Duivelseiland";1380;660;720;125;135;695;300;130;1005;285;75;15;655;365;360;655;60;125;300;235;15;11;10;7;840;480;235;125;1,6;23617
"Harmoniehofbuurt";1335;620;715;90;90;205;290;660;555;500;165;120;960;160;210;955;100;115;60;95;5;2;15;9;865;535;230;100;1,5;13581
"Oude Pijp";14865;7430;7440;1090;1970;7200;3105;1500;11310;2440;930;180;6730;3615;4525;6725;705;1545;2905;2980;130;9;60;4;9910;6360;2395;1160;1,5;23477
"Frans Halsbuurt";2580;1275;1305;185;325;1230;580;260;1930;450;165;35;1160;695;725;1160;140;230;560;490;25;10;10;5;1720;1110;390;220;1,5;23369
"Gerard Doubuurt";2035;1050;990;145;240;980;430;240;1495;360;155;30;865;455;720;865;75;240;380;480;20;10;10;5;1375;895;325;155;1,5;20579
"Hercules Seghersbuurt";2535;1245;1295;170;320;1260;505;270;1965;365;175;30;1090;585;865;1090;125;305;455;555;15;6;10;4;1720;1130;405;185;1,5;31725
"Sarphatiparkbuurt";5090;2515;2575;320;770;2495;1005;500;3960;765;305;60;2370;1235;1490;2370;230;505;1005;980;50;9;15;3;3445;2225;865;350;1,5;22438
"Hemonybuurt";2625;1345;1275;260;315;1235;590;225;1955;505;135;25;1245;640;730;1245;135;265;510;470;20;8;10;3;1650;1000;405;240;1,6;22415
"Nieuwe Pijp";12570;6010;6560;1010;1375;5860;2700;1625;9165;2175;935;290;5795;2800;3970;5795;585;1340;2220;2635;130;10;105;8;8115;5070;1965;1080;1,5;24466
"Cornelis Troostbuurt";3610;1710;1900;305;395;1725;740;445;2655;635;240;75;1670;880;1060;1675;180;360;700;705;45;12;25;7;2320;1425;600;295;1,5;24632
"Lizzy Ansinghbuurt";2385;1170;1220;185;240;1030;560;375;1730;395;190;70;1035;495;855;1035;120;295;380;555;20;9;35;16;1450;880;340;230;1,6;19289
"Van der Helstpleinbuurt";3920;1905;2015;335;395;1985;830;370;2935;675;260;50;1835;905;1170;1840;185;375;720;800;40;10;15;4;2535;1560;630;350;1,5;28755
"Willibrordusbuurt";2650;1225;1425;185;345;1120;565;440;1850;470;240;95;1245;520;885;1250;100;310;415;580;25;9;25;9;1815;1210;395;205;1,5;24764
"Zuid Pijp";7920;3750;4170;845;870;2715;2075;1415;5230;1600;875;215;3420;1085;3415;3415;325;1315;755;2105;60;8;65;8;4720;2755;980;985;1,7;22438
"BurgemeesterTellegenbuurt-West";2155;1005;1150;240;205;720;560;430;1395;420;275;60;970;300;885;965;90;350;210;535;15;6;10;6;1315;795;250;265;1,6;22036
"Burgemeester Tellegenbuurt-Oost";2700;1260;1435;255;300;955;730;460;1795;535;300;70;1215;365;1115;1215;105;425;265;695;20;6;25;10;1620;920;385;325;1,6;23019
"Diamantbuurt";3065;1485;1580;350;365;1030;790;525;2045;645;300;80;1230;420;1415;1230;135;545;285;870;30;10;25;8;1790;1045;345;400;1,7;22230
"Stadionbuurt";11770;5520;6250;1500;1130;4405;2855;1875;7635;2650;1155;330;5730;2165;3875;5730;580;1510;1585;2365;130;11;65;5;6825;3725;1565;1535;1,7;12299
"Bertelmanpleinbuurt";1030;485;550;90;105;340;275;225;660;185;155;30;480;135;420;480;45;175;90;245;5;6;10;10;655;415;125;115;1,6;19011
"Olympisch Stadion e.o.";2365;1115;1255;440;180;860;530;365;1395;705;180;85;945;605;820;945;115;280;490;540;30;14;15;5;1190;515;285;390;2;11308
"Marathonbuurt-West";2370;1105;1260;235;225;825;655;430;1570;420;315;65;1005;335;1030;1010;110;415;220;610;30;12;15;6;1525;995;245;285;1,6;20068
"Marathonbuurt-Oost";1460;680;780;155;155;435;420;295;940;285;185;40;750;195;510;750;60;215;135;295;15;8;10;6;890;530;165;195;1,6;9768
"Van Tuyllbuurt";4155;1945;2210;515;415;1885;830;510;2845;925;285;95;2255;840;1055;2255;220;400;625;650;45;11;15;4;2405;1220;700;480;1,7;20827
"IJsbaanpad e.o.";385;195;190;70;55;60;145;60;220;125;30;5;290;50;40;295;30;20;25;25;5;5;5;3;160;50;40;75;2,3;1697
"Apollobuurt";8825;4195;4625;1635;1040;2205;2375;1565;4730;3190;600;305;4445;2230;2145;4445;590;790;1645;1355;80;9;50;6;4080;1675;965;1440;2,2;9979
"Hiltonbuurt";75;40;40;15;15;5;35;10;40;35;10;0;50;15;15;50;5;5;5;10;0;0;0;0;30;5;5;15;2,6;806
"Minervabuurt-Noord";1450;710;745;290;170;305;435;255;755;565;95;35;750;350;350;750;100;130;250;220;10;8;10;8;630;220;145;255;2,3;10075
"Minervabuurt-Midden";2510;1180;1330;470;290;650;650;450;1325;905;175;105;1185;695;630;1185;185;230;510;400;20;10;10;5;1140;450;275;415;2,2;16677
"Minervabuurt-Zuid";2620;1250;1370;450;250;785;655;485;1460;880;185;100;1305;645;670;1305;160;240;480;435;30;13;10;4;1320;595;325;400;2;16984
"Beethovenbuurt";1365;635;735;235;195;325;370;230;735;485;105;40;700;345;320;700;70;105;270;215;5;5;15;9;650;290;145;220;2,1;9362
"Diepenbrockbuurt";800;380;410;170;120;135;240;135;420;320;30;25;455;185;155;455;65;80;120;75;0;4;5;5;315;105;75;135;2,5;4136
"Scheldebuurt";15000;6960;8040;1930;1560;6255;2975;2275;10075;3380;1090;460;8795;2830;3375;8795;870;1485;1960;1890;205;13;135;9;8255;4105;2335;1815;1,8;15174
"Wielingenbuurt";2900;1345;1555;370;310;1155;620;445;1930;715;190;70;1750;580;570;1750;185;260;390;310;40;12;15;4;1560;695;500;365;1,9;20762
"Scheldebuurt-West";4305;1995;2305;555;505;1740;865;640;2900;955;320;130;2505;815;980;2505;250;430;570;550;55;13;25;6;2410;1220;655;535;1,8;17107
"Scheldebuurt-Midden";3150;1425;1725;430;335;1345;595;450;2120;750;200;80;1880;605;675;1880;170;280;430;390;50;16;15;4;1695;800;500;395;1,9;19686
"Scheldebuurt-Oost";2390;1085;1305;295;305;1055;455;285;1710;485;160;40;1395;465;525;1395;150;230;320;290;35;13;10;4;1335;655;390;290;1,8;17024
"Veluwebuurt";1510;730;775;185;75;520;355;370;945;270;185;105;935;180;390;935;90;185;95;210;10;9;60;40;885;580;145;160;1,6;11523
"Kop Zuidas";745;365;380;100;30;435;90;85;470;205;40;30;320;190;235;320;35;95;155;135;15;21;15;21;370;155;140;75;1,9;4492
"IJselbuurt";5225;2500;2730;505;630;2260;1100;735;3715;945;455;115;2825;835;1570;2820;250;680;585;895;50;10;35;7;3255;1905;820;540;1,6;20404
"IJselbuurt-West";2340;1135;1205;195;240;1010;535;360;1670;405;220;50;1285;385;675;1285;130;275;250;395;20;9;20;9;1535;960;365;210;1,5;18949
"IJselbuurt-Oost";2885;1365;1520;310;385;1250;565;380;2045;535;240;70;1535;450;900;1535;120;405;330;500;30;10;20;7;1720;940;455;325;1,7;21760
"Rijnbuurt";8985;4200;4785;865;1010;3790;1970;1355;6410;1480;855;235;5090;1390;2505;5090;420;1050;970;1450;105;12;60;7;5645;3340;1395;905;1,6;9305
