"Wijken en buurten";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Geslacht/Mannen (aantal)";"Bevolking/Geslacht/Vrouwen (aantal)";"Bevolking/Leeftijdsgroepen/0 tot 15 jaar (aantal)";"Bevolking/Leeftijdsgroepen/15 tot 25 jaar (aantal)";"Bevolking/Leeftijdsgroepen/25 tot 45 jaar (aantal)";"Bevolking/Leeftijdsgroepen/45 tot 65 jaar (aantal)";"Bevolking/Leeftijdsgroepen/65 jaar of ouder (aantal)";"Bevolking/Burgerlijke staat/Ongehuwd (aantal)";"Bevolking/Burgerlijke staat/Gehuwd (aantal)";"Bevolking/Burgerlijke staat/Gescheiden (aantal)";"Bevolking/Burgerlijke staat/Verweduwd (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Nederland (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Europa (exclusief Nederland)  (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Buiten Europa  (aantal)";"Bevolking/Bevolking naar herkomst/Geboren in Nederland/Nederland (aantal)";"Bevolking/Bevolking naar herkomst/Geboren in Nederland/Europa (exclusief Nederland)  (aantal)";"Bevolking/Bevolking naar herkomst/Geboren in Nederland/Buiten Europa  (aantal)";"Bevolking/Bevolking naar herkomst/Geboren buiten Nederland/Europa (exclusief Nederland) (aantal)";"Bevolking/Bevolking naar herkomst/Geboren buiten Nederland/Buiten Europa (aantal)";"Bevolking/Geboorte en sterfte/Geboorte totaal (aantal)";"Bevolking/Geboorte en sterfte/Geboorte relatief (per 1 000 inwoners)";"Bevolking/Geboorte en sterfte/Sterfte totaal (aantal)";"Bevolking/Geboorte en sterfte/Sterfte relatief (per 1 000 inwoners)";"Bevolking/Particuliere huishoudens/Huishoudens totaal (aantal)";"Bevolking/Particuliere huishoudens/Eenpersoonshuishoudens (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens zonder kinderen (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens met kinderen (aantal)";"Bevolking/Particuliere huishoudens/Gemiddelde huishoudensgrootte (aantal)";"Bevolking/Bevolkingsdichtheid (aantal inwoners per km²)"
"Geerdinkhof/Kantershof";7160;3735;3420;880;960;1865;1765;1690;4110;1860;920;270;2235;940;3985;2235;230;1445;710;2535;55;8;60;9;4010;2310;780;915;1,8;4910
"G-buurt-Oost";3155;1700;1455;245;405;790;690;1020;1705;910;365;175;1415;520;1220;1410;115;395;405;825;20;6;30;9;1995;1250;475;275;1,6;3723
"Grunder/Koningshoef";1750;850;905;315;290;535;465;155;1140;425;175;15;215;170;1365;220;45;570;125;790;20;11;10;5;775;340;120;320;2,2;14565
"Kantershof";2250;1190;1065;320;260;540;610;515;1265;530;380;80;605;255;1395;605;70;480;185;915;15;8;25;11;1235;730;185;325;1,8;4596
"Bijlmermuseum";7785;3820;3960;1330;1255;2275;1950;975;5430;1085;1155;115;1080;755;5955;1080;130;2045;625;3910;80;10;40;5;4315;2525;560;1225;1,8;14357
"Bijlmermuseum-Noord";2310;1100;1205;360;335;495;635;485;1480;360;415;65;260;145;1905;260;30;545;115;1360;15;6;25;10;1305;760;155;385;1,8;16292
"Bijlmermuseum-Zuid";3115;1540;1570;550;500;1015;745;300;2235;405;440;30;455;430;2220;460;55;765;375;1460;35;11;10;4;1700;965;250;480;1,8;12952
"De Kameleon e.o.";2365;1175;1185;420;415;765;570;190;1715;320;305;25;365;175;1825;360;45;730;135;1095;30;12;10;3;1315;800;160;355;1,8;14751
"K-buurt";7440;3700;3740;1440;1055;2190;1860;890;4880;1530;845;185;1415;500;5520;1415;155;2385;345;3140;85;11;70;9;3635;1845;460;1330;2;8152
"Gooise Kant";745;370;375;215;100;295;125;10;520;185;35;5;160;55;530;155;15;315;35;215;20;26;0;1;285;75;45;170;2,6;5350
"Kortvoort";2855;1435;1425;430;325;805;750;540;1870;410;475;100;550;190;2120;545;50;750;140;1370;30;10;55;19;1710;1085;185;430;1,7;13551
"Kelbergen";1010;490;520;190;145;235;280;160;635;230;115;30;235;80;695;235;30;290;50;410;5;7;5;5;455;200;70;190;2,2;4761
"K-buurt-Zuidwest";1405;680;725;240;270;360;405;130;905;340;125;35;190;85;1125;195;30;495;55;625;15;9;10;5;610;245;90;275;2,3;8463
"K-buurt-Zuidoost";1420;725;690;360;215;490;305;55;945;370;95;10;280;90;1050;280;30;530;60;520;15;11;0;1;590;240;75;270;2,4;7721
"Holendrecht";9500;4390;5115;1715;1330;2250;2380;1830;5935;1905;1320;335;2210;620;6670;2210;215;2785;405;3885;110;12;80;9;4620;2215;705;1710;2,1;7060
"Holendrecht-West";2735;1250;1485;560;430;545;650;555;1830;305;480;115;525;125;2090;525;50;910;70;1180;25;9;30;11;1390;775;115;495;2;7816
"Holendrecht-Oost";2500;1200;1300;365;260;590;565;715;1230;915;220;135;1020;260;1220;1020;95;530;170;690;25;10;25;10;1170;440;325;405;2,1;3990
"Holendrecht-Zuid";4265;1945;2325;790;640;1120;1165;550;2875;685;620;85;665;235;3370;665;70;1345;165;2020;60;14;25;6;2060;995;265;800;2,1;11548
"Nellestein";3115;1630;1485;395;290;1030;760;640;1925;720;370;100;1200;615;1305;1200;125;480;490;825;25;7;30;9;1860;1070;410;375;1,7;1535
"L-buurt";3095;1620;1480;395;285;1030;750;635;1915;715;365;95;1185;615;1300;1185;125;470;485;825;20;7;30;9;1850;1070;410;375;1,7;4483
"Gaasperpark";15;5;10;0;0;0;5;5;10;0;0;0;10;0;5;5;0;0;0;0;0;0;0;0;5;5;0;0;1,8;16
"Gaasperplas";5;5;0;0;5;0;5;0;5;0;0;5;5;0;0;5;0;5;0;0;0;0;0;0;5;0;0;0;2,3;
"Reigersbos";8540;4270;4275;1225;1030;2460;2280;1560;5345;1980;955;265;2385;790;5370;2380;205;2085;585;3285;70;8;65;8;4550;2475;775;1300;1,8;6836
"Reigersbos 1";2055;1055;1000;285;260;660;610;245;1410;385;225;35;455;225;1370;455;35;540;190;835;20;8;20;9;1090;615;175;300;1,8;8611
"Reigersbos 2";1530;770;765;170;215;450;400;295;1010;250;200;65;380;150;1000;380;35;305;115;695;10;8;15;10;945;625;130;185;1,6;8331
"Reigersbos 3";2440;1190;1250;345;300;675;645;470;1500;565;295;80;605;195;1640;605;45;635;155;1000;20;7;20;7;1305;700;205;405;1,9;9932
"Reigersbos 4";2520;1250;1270;425;260;670;620;550;1425;775;230;90;940;220;1355;940;90;605;130;755;25;10;15;5;1205;535;265;405;2,1;4328
"Gein";11220;5520;5700;1690;1345;3010;3035;2135;6490;3105;1295;335;3835;1065;6320;3835;325;2555;740;3765;110;10;80;7;5575;2570;1150;1855;2;6123
"Gein 1";3005;1465;1545;470;405;875;770;490;2040;445;435;90;725;305;1970;725;70;750;240;1225;25;9;35;12;1645;965;220;455;1,8;9850
"Gein 2";1655;795;855;275;225;525;450;175;1130;260;230;25;285;130;1240;290;35;475;95;770;20;10;5;3;870;475;105;295;1,9;9459
"Gein 3";3195;1640;1555;425;385;710;925;755;1460;1420;215;100;1610;350;1245;1605;135;535;215;705;25;8;15;5;1415;440;465;515;2,3;5036
"Gein 4";3365;1615;1745;525;325;905;895;710;1860;970;405;125;1215;280;1865;1215;90;800;195;1065;40;12;25;7;1645;695;360;590;2;4687
