"Soort misdrijf";"Perioden";"Wijken en buurten";"Geregistreerde misdrijven (aantal)"
"1.1.1 Diefstal/inbraak woning";"2023";"Zaagpoortbuurt";"       2"
"1.1.1 Diefstal/inbraak woning";"2012";"Anjeliersbuurt-Zuid";"      20"
"1.1.1 Diefstal/inbraak woning";"2013";"Anjeliersbuurt-Zuid";"      10"
"1.1.1 Diefstal/inbraak woning";"2014";"Anjeliersbuurt-Zuid";"      14"
"1.1.1 Diefstal/inbraak woning";"2015";"Anjeliersbuurt-Zuid";"      18"
"1.1.1 Diefstal/inbraak woning";"2016";"Anjeliersbuurt-Zuid";"      11"
"1.1.1 Diefstal/inbraak woning";"2017";"Anjeliersbuurt-Zuid";"      13"
"1.1.1 Diefstal/inbraak woning";"2018";"Anjeliersbuurt-Zuid";"      10"
"1.1.1 Diefstal/inbraak woning";"2019";"Anjeliersbuurt-Zuid";"      15"
"1.1.1 Diefstal/inbraak woning";"2020";"Anjeliersbuurt-Zuid";"      18"
"1.1.1 Diefstal/inbraak woning";"2021";"Anjeliersbuurt-Zuid";"       5"
"1.1.1 Diefstal/inbraak woning";"2022";"Anjeliersbuurt-Zuid";"      14"
"1.1.1 Diefstal/inbraak woning";"2023";"Anjeliersbuurt-Zuid";"       8"
"1.1.1 Diefstal/inbraak woning";"2012";"Marnixbuurt-Midden";"       1"
"1.1.1 Diefstal/inbraak woning";"2013";"Marnixbuurt-Midden";"       0"
"1.1.1 Diefstal/inbraak woning";"2014";"Marnixbuurt-Midden";"       2"
"1.1.1 Diefstal/inbraak woning";"2015";"Marnixbuurt-Midden";"       1"
"1.1.1 Diefstal/inbraak woning";"2016";"Marnixbuurt-Midden";"       0"
"1.1.1 Diefstal/inbraak woning";"2017";"Marnixbuurt-Midden";"       0"
"1.1.1 Diefstal/inbraak woning";"2018";"Marnixbuurt-Midden";"       1"
"1.1.1 Diefstal/inbraak woning";"2019";"Marnixbuurt-Midden";"       0"
"1.1.1 Diefstal/inbraak woning";"2020";"Marnixbuurt-Midden";"       4"
"1.1.1 Diefstal/inbraak woning";"2021";"Marnixbuurt-Midden";"       1"
"1.1.1 Diefstal/inbraak woning";"2022";"Marnixbuurt-Midden";"       0"
"1.1.1 Diefstal/inbraak woning";"2023";"Marnixbuurt-Midden";"       2"
"1.1.1 Diefstal/inbraak woning";"2012";"Bloemgrachtbuurt";"      23"
