"Soort misdrijf";"Perioden";"Wijken en buurten";"Geregistreerde misdrijven (aantal)"
"1.3.1 Ongevallen (weg)";"2023";"Anjeliersbuurt-Noord";"      12"
"1.3.1 Ongevallen (weg)";"2012";"Zaagpoortbuurt";"       3"
"1.3.1 Ongevallen (weg)";"2013";"Zaagpoortbuurt";"       2"
"1.3.1 Ongevallen (weg)";"2014";"Zaagpoortbuurt";"       1"
"1.3.1 Ongevallen (weg)";"2015";"Zaagpoortbuurt";"       5"
"1.3.1 Ongevallen (weg)";"2016";"Zaagpoortbuurt";"       5"
"1.3.1 Ongevallen (weg)";"2017";"Zaagpoortbuurt";"       0"
"1.3.1 Ongevallen (weg)";"2018";"Zaagpoortbuurt";"       6"
"1.3.1 Ongevallen (weg)";"2019";"Zaagpoortbuurt";"       7"
"1.3.1 Ongevallen (weg)";"2020";"Zaagpoortbuurt";"       5"
"1.3.1 Ongevallen (weg)";"2021";"Zaagpoortbuurt";"       4"
"1.3.1 Ongevallen (weg)";"2022";"Zaagpoortbuurt";"       7"
"1.3.1 Ongevallen (weg)";"2023";"Zaagpoortbuurt";"       3"
"1.3.1 Ongevallen (weg)";"2012";"Anjeliersbuurt-Zuid";"      11"
"1.3.1 Ongevallen (weg)";"2013";"Anjeliersbuurt-Zuid";"      12"
"1.3.1 Ongevallen (weg)";"2014";"Anjeliersbuurt-Zuid";"       5"
"1.3.1 Ongevallen (weg)";"2015";"Anjeliersbuurt-Zuid";"      11"
"1.3.1 Ongevallen (weg)";"2016";"Anjeliersbuurt-Zuid";"      11"
"1.3.1 Ongevallen (weg)";"2017";"Anjeliersbuurt-Zuid";"       5"
"1.3.1 Ongevallen (weg)";"2018";"Anjeliersbuurt-Zuid";"      13"
"1.3.1 Ongevallen (weg)";"2019";"Anjeliersbuurt-Zuid";"      14"
"1.3.1 Ongevallen (weg)";"2020";"Anjeliersbuurt-Zuid";"       6"
"1.3.1 Ongevallen (weg)";"2021";"Anjeliersbuurt-Zuid";"      11"
"1.3.1 Ongevallen (weg)";"2022";"Anjeliersbuurt-Zuid";"      10"
"1.3.1 Ongevallen (weg)";"2023";"Anjeliersbuurt-Zuid";"      14"
"1.3.1 Ongevallen (weg)";"2012";"Marnixbuurt-Midden";"       2"
"1.3.1 Ongevallen (weg)";"2013";"Marnixbuurt-Midden";"       4"
"1.3.1 Ongevallen (weg)";"2014";"Marnixbuurt-Midden";"       3"
"1.3.1 Ongevallen (weg)";"2015";"Marnixbuurt-Midden";"       5"
"1.3.1 Ongevallen (weg)";"2016";"Marnixbuurt-Midden";"       3"
"1.3.1 Ongevallen (weg)";"2017";"Marnixbuurt-Midden";"       1"
"1.3.1 Ongevallen (weg)";"2018";"Marnixbuurt-Midden";"       7"
"1.3.1 Ongevallen (weg)";"2019";"Marnixbuurt-Midden";"       4"
"1.3.1 Ongevallen (weg)";"2020";"Marnixbuurt-Midden";"       0"
"1.3.1 Ongevallen (weg)";"2021";"Marnixbuurt-Midden";"       0"
"1.3.1 Ongevallen (weg)";"2022";"Marnixbuurt-Midden";"       5"
"1.3.1 Ongevallen (weg)";"2023";"Marnixbuurt-Midden";"       1"
"1.3.1 Ongevallen (weg)";"2012";"Bloemgrachtbuurt";"       8"
"1.3.1 Ongevallen (weg)";"2013";"Bloemgrachtbuurt";"      13"
"1.3.1 Ongevallen (weg)";"2014";"Bloemgrachtbuurt";"      14"
"1.3.1 Ongevallen (weg)";"2015";"Bloemgrachtbuurt";"       7"
"1.3.1 Ongevallen (weg)";"2016";"Bloemgrachtbuurt";"      24"
"1.3.1 Ongevallen (weg)";"2017";"Bloemgrachtbuurt";"      16"
"1.3.1 Ongevallen (weg)";"2018";"Bloemgrachtbuurt";"      13"
"1.3.1 Ongevallen (weg)";"2019";"Bloemgrachtbuurt";"      15"
"1.3.1 Ongevallen (weg)";"2020";"Bloemgrachtbuurt";"       9"
"1.3.1 Ongevallen (weg)";"2021";"Bloemgrachtbuurt";"      13"
"1.3.1 Ongevallen (weg)";"2022";"Bloemgrachtbuurt";"      11"
"1.3.1 Ongevallen (weg)";"2023";"Bloemgrachtbuurt";"      20"
"1.3.1 Ongevallen (weg)";"2012";"Groenmarktkadebuurt";"      11"
"1.3.1 Ongevallen (weg)";"2013";"Groenmarktkadebuurt";"      15"
"1.3.1 Ongevallen (weg)";"2014";"Groenmarktkadebuurt";"       9"
"1.3.1 Ongevallen (weg)";"2015";"Groenmarktkadebuurt";"      10"
"1.3.1 Ongevallen (weg)";"2016";"Groenmarktkadebuurt";"       4"
"1.3.1 Ongevallen (weg)";"2017";"Groenmarktkadebuurt";"      13"
"1.3.1 Ongevallen (weg)";"2018";"Groenmarktkadebuurt";"       9"
"1.3.1 Ongevallen (weg)";"2019";"Groenmarktkadebuurt";"       8"
"1.3.1 Ongevallen (weg)";"2020";"Groenmarktkadebuurt";"       4"
"1.3.1 Ongevallen (weg)";"2021";"Groenmarktkadebuurt";"       4"
"1.3.1 Ongevallen (weg)";"2022";"Groenmarktkadebuurt";"       4"
"1.3.1 Ongevallen (weg)";"2023";"Groenmarktkadebuurt";"      13"
"1.3.1 Ongevallen (weg)";"2012";"Marnixbuurt-Zuid";"       3"
"1.3.1 Ongevallen (weg)";"2013";"Marnixbuurt-Zuid";"       5"
"1.3.1 Ongevallen (weg)";"2014";"Marnixbuurt-Zuid";"       7"
"1.3.1 Ongevallen (weg)";"2015";"Marnixbuurt-Zuid";"       6"
"1.3.1 Ongevallen (weg)";"2016";"Marnixbuurt-Zuid";"       3"
"1.3.1 Ongevallen (weg)";"2017";"Marnixbuurt-Zuid";"       5"
"1.3.1 Ongevallen (weg)";"2018";"Marnixbuurt-Zuid";"       7"
"1.3.1 Ongevallen (weg)";"2019";"Marnixbuurt-Zuid";"       4"
"1.3.1 Ongevallen (weg)";"2020";"Marnixbuurt-Zuid";"       3"
"1.3.1 Ongevallen (weg)";"2021";"Marnixbuurt-Zuid";"       7"
"1.3.1 Ongevallen (weg)";"2022";"Marnixbuurt-Zuid";"       7"
"1.3.1 Ongevallen (weg)";"2023";"Marnixbuurt-Zuid";"       8"
"1.3.1 Ongevallen (weg)";"2012";"Elandsgrachtbuurt";"      17"
"1.3.1 Ongevallen (weg)";"2013";"Elandsgrachtbuurt";"      22"
"1.3.1 Ongevallen (weg)";"2014";"Elandsgrachtbuurt";"      14"
"1.3.1 Ongevallen (weg)";"2015";"Elandsgrachtbuurt";"      25"
"1.3.1 Ongevallen (weg)";"2016";"Elandsgrachtbuurt";"      19"
"1.3.1 Ongevallen (weg)";"2017";"Elandsgrachtbuurt";"      21"
"1.3.1 Ongevallen (weg)";"2018";"Elandsgrachtbuurt";"      27"
