"Wijken en buurten";"Inkomen/Inkomen van personen/Aantal inkomensontvangers   (aantal)";"Inkomen/Inkomen van personen/Gemiddeld inkomen per inkomensontvanger  (x 1 000 euro)";"Inkomen/Inkomen van personen/Gemiddeld inkomen per inwoner  (x 1 000 euro)";"Inkomen/Inkomen van personen/40% personen met laagste inkomen (%)";"Inkomen/Inkomen van personen/20% personen met hoogste inkomen (%)";"Inkomen/Inkomen van huishoudens/Gem. gestandaardiseerd inkomen van huish (x 1 000 euro)";"Inkomen/Inkomen van huishoudens/40% huishoudens met laagste inkomen (%)";"Inkomen/Inkomen van huishoudens/20% huishoudens met hoogste inkomen (%)";"Inkomen/Inkomen van huishoudens/Huishoudens met een laag inkomen (%)";"Inkomen/Inkomen van huishoudens/Huish. onder of rond sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Huishoudens tot 110% van sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Huishoudens tot 120% van sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Mediaan vermogen van particuliere huish. (x 1 000 euro)"
"Marnixbuurt Zuid";600;45;41,8;31,8;27,5;34;58,8;10,9;8;11,1;13,8;17,8;28,2
"Anjeliersbuurt Noord";1900;47,4;42,6;38,4;27,3;40,2;52,3;18,8;5,9;10,1;14,4;16,5;29,1
"Anjeliersbuurt Zuid";2600;43,7;39,2;39,9;26,1;36;55,8;15,9;5,8;13,7;18,1;20,6;24,6
"De Weteringschans";6400;61,1;53,5;31,1;37,6;52,3;42,7;25,2;5,2;7,3;9,3;10,9;40
"Leidsebuurt Noordwest";200;54,1;50,4;22,3;37,7;41,5;45,2;15,6;2,8;2,8;3,9;5,5;25,1
"Leidsebuurt Zuidwest";100;48,7;44,3;38,9;29;33,9;64,2;16;;;;;4,1
"Leidsebuurt Noordoost";900;49,6;45,4;34,6;28,5;36,5;51,9;13,9;6,1;6,8;8;9,1;5,5
"Leidsebuurt Zuidoost";300;56,7;48,6;35,2;36;44,5;44,7;24,5;5,4;8,3;11,9;13,1;30
"Weteringbuurt";2000;61,4;53,1;30,7;39,1;62;41;26,6;5,6;7,4;9,3;10,8;53,1
"Den Texbuurt";900;66,8;57;30,6;41,2;54,4;39,1;33,4;4,5;7,9;10,5;11,8;98,2
"Utrechtsebuurt Zuid";1000;61;53,7;31,5;37,2;49,9;40,7;26,1;4,3;7,5;9,8;12;75,7
"Frederikspleinbuurt";800;73,4;63,6;28,3;42,5;57,7;36,7;30,9;5,4;7,7;10;11,1;129,2
"Weesperbuurt/Plantage";6000;54,4;48,1;34,7;33,7;47,3;47,2;21,9;5,4;8,9;11,9;13,7;39,3
"Weesperbuurt";2600;49,2;44,5;36,4;31,2;39;51;18,1;5,7;9,8;12,9;14,9;23
"Sarphatistrook";1600;51,1;45,3;36,9;31,5;41,3;50,1;21,6;5,5;10,5;14,4;16,3;23,8
"de Plantage";1400;67,6;57,9;30,8;39,2;63,7;37,7;28,1;4,2;5,5;7,7;9;241,9
"Alexanderplein e.o.";300;54;46,3;28,6;39,2;;40,6;28,6;7,5;8;10,8;11,8;121
"Oostelijke Eilanden/Kadijken";11500;41,9;36,7;39,2;26;34,7;52,6;16,8;6,1;12,6;17,3;20;18,9
"Marine-Etablissement";100;;;;;;;;;;;;
"Kattenburg";1400;31,9;28;49,7;17,3;27,2;62,6;13;5,6;12,3;18;21,8;7,8
"Wittenburg";1900;39,4;34,9;37,7;23,7;33,6;51,6;14,9;5,2;13;18,7;21,4;20
"Oostenburg";1700;42,7;37,7;36,7;26,4;34,9;51,8;16,3;5,4;13,1;17,2;19,7;10
"Czaar Peterbuurt";2000;41,3;36,3;40,4;25,6;32,9;56,9;15,3;6,1;15,2;20,1;22,5;8
"Het Funen";1000;53,5;41,7;33,7;38,4;41,5;33,4;34,2;5;7,1;10;12,5;387,2
"Kazernebuurt";800;39;35,9;39,7;22,6;32,2;57,3;12,1;9,1;13,9;18,7;21,3;16,3
"Kadijken";2500;45,6;40,7;37,7;28,9;39;50,7;17,7;6,7;11,8;15,9;18,6;39,6
"Westelijk Havengebied";400;12,7;12,5;84,6;3,1;8,6;93,8;1,5;;;;;0
"Coenhaven/Mercuriushaven";300;10,9;10,9;88,2;2,8;7,4;95,9;0,6;;;;;0
"Alfa-driehoek";0;;;;;;;;;;;;
"Petroleumhaven";0;;;;;;;;;;;;
"Westhaven Noord";0;;;;;;;;;;;;
"Vervoerscentrum";0;;;;;;;;;;;;
"Amerikahaven";0;;;;;;;;;;;;
"Afrikahaven";0;;;;;;;;;;;;
"Westhaven Zuid";0;;;;;;;;;;;;
"Bedrijventerrein Sloterdijk";900;27;24,7;53,2;8,9;22;84,8;2,1;15,3;17,6;22,4;25,5;0,2
"Sloterdijk II";0;;;;;;;;;;;;
"Sloterdijk III Oost";0;;;;;;;;;;;;
"Sloterdijk III West";100;16,8;16;82;1,8;13,6;94,1;2;;;;;0
"De Heining";0;;;;;;;;;;;;
"Teleport";700;28;25,5;49,3;9,3;23;84,4;1,9;11,2;14,7;18,6;22,1;0,2
"Bretten Oost";0;;;;;;;;;;;;
"Bretten West";0;;;;;;;;;;;;
"Houthavens";3300;83,4;64,2;19,5;54,5;66,5;23,2;47,6;2,8;4,3;5,1;6;452
"Houthavens West";2700;90,5;67,6;17;58,5;72;19,3;52,9;2,1;3,4;4;4,7;453,4
"Houthavens Oost";600;49,7;44,5;31,4;35,4;43,2;39,4;25,4;5,5;8,2;9,5;11,6;439,7
"Spaarndammer- en Zeeheldenbuurt";9000;39,9;34,3;40,5;22,6;32,9;56,1;13,1;5,8;15,9;20,8;24;7,6
"Zeeheldenbuurt";1500;39,7;34,4;38,7;23,6;34;50,2;14,5;4,8;13,4;18,7;21,2;15
"Spaarndammerbuurt Noordoost";2300;35,3;30,6;44,5;18,5;29,7;61,8;10,1;6,6;18,8;24,7;28,6;5,2
"Spaarndammerbuurt Zuidoost";900;40,9;35,6;39,2;23,4;34,6;49,1;13,8;4;12,9;17,1;21,1;14,9
"Spaarndammerbuurt Zuidwest";1400;46,8;40,6;39,2;26,3;35,8;56,9;14;5,3;16,3;21;24,5;7
"Spaarndammerbuurt Midden";1200;44;36,4;39,5;25,9;34,8;55,6;15,9;6,4;14,4;18,6;21,8;8,5
"Spaarndammerbuurt Noordwest";1600;37,1;31,8;39,4;21,2;31,5;56,6;13,2;6,3;16,3;20,3;22,5;4,1
"Westergasfabriek";0;;;;;;;;;;;;
"Overbraker Binnenpolder";0;;;;;;;;;;;;
"Staatsliedenbuurt";11200;43,2;37,8;37,7;28,6;35,3;51,4;16,3;5,4;14,1;18,5;20,8;17,8
"De Wittenbuurt Noord";1100;45,4;39;37,2;28,4;36,5;53,3;17,3;6,4;13,6;18,7;20,7;17,8
"De Wittenbuurt Zuid";700;35,5;32;48;17,6;30,8;64;9,9;7,1;20,5;26,4;31;14,8
"Staatsliedenbuurt Noordoost";1100;35,3;31,6;46,9;19,2;30,3;62,6;10,4;5,7;19,8;26;30,1;9,7
"Fannius Scholtenbuurt";3100;42,8;37,2;37,5;27,8;34,4;52,3;13,9;6,4;14,9;19,2;21;16,2
"Westerstaatsman";2400;45,3;40;34,2;32,2;36,6;46,9;16,7;4,4;12,1;15,5;17,7;21,4
"Buyskade e.o.";2600;46,3;40,2;34,9;32,7;38;45;22,9;3,9;10,9;14,5;16,5;24,2
"Centrale Markt";2000;43,5;37,2;35,4;29,5;37,2;42,3;22;4,6;10,4;13,9;15,8;51,9
"Ecowijk";1100;43,2;36,7;36,2;30;38,5;35,2;25;3,3;7,5;11,5;14;163,6
"Markthallen";0;;;;;;;;;;;;
"Bedrijvencentrum Westerkwartier";100;;;;;;;;;;;;
"Marcanti";900;44,3;38,5;34,2;29;36,2;49,5;19;5,5;13,3;16,5;17,6;20,1
"Frederik Hendrikbuurt";7000;46,9;41,7;34,9;30,7;36,9;49,4;17,6;5,4;13,2;17;19;18,4
"Frederik Hendrikbuurt Noord";3300;45,7;40,3;35,4;30;36,7;49;18,6;5,8;12,9;16,7;18,7;19
"Frederik Hendrikbuurt Zuidoost";2700;48,2;43,2;34;31,6;36,4;51,4;16,1;5,5;14,4;18,2;20,2;13,4
"Frederik Hendrikbuurt Zuidwest";1000;47;42,4;35,7;30,4;39,1;44,9;18,8;4,1;10,8;14,9;17;43,1
"Da Costabuurt";4100;50,4;44,7;32,5;33,4;39,7;45,8;20,5;5,6;9,5;12,3;14,4;27,1
"Da Costabuurt Noord";4100;50,4;44,7;32,5;33,4;39,7;45,8;20,5;5,6;9,5;12,3;14,4;27,1
"Kinkerbuurt";5400;48,3;42,3;32,1;32;37,8;49,5;19,1;5,3;11,1;14,5;16,8;13,5
"Bellamybuurt Noord";2000;47,1;40,5;33,7;30,7;37,1;50;18,7;5,4;11,3;15,3;17,7;13
"Bellamybuurt Zuid";3400;49;43,3;31,1;32,7;38,1;49,2;19,3;5,3;10,9;14;16,3;13,7
"Van Lennepbuurt";6000;41,6;37;42;24,7;34,3;57,6;12,7;6,2;17,2;22;25,4;10,2
"Da Costabuurt Zuid";2000;49;44,1;32,9;33,7;38,8;48,9;15,7;5,5;11,1;13,2;15,7;15,6
"Borgerbuurt";2400;33,9;29,9;51,4;17;29,8;64,7;9,4;6,4;21,7;28,2;33,2;7,3
"Lootsbuurt";1600;44,1;39,4;38,7;25,4;35;58,2;13,7;6,5;18;23,6;25,5;9
"Helmersbuurt";6400;58,7;50,9;31,7;36,6;45,7;44,3;24,6;5,8;9,9;12,5;14,5;35,4
"Helmersbuurt Oost";2200;66,5;56,6;28,4;42,2;53,5;35,4;30,2;3,6;5;6,7;8,2;56,9
"WG-terrein";2300;49,5;43,6;37,2;30,1;39,7;54,5;19,3;8,2;14,6;18,7;21,9;22,6
"Cremerbuurt Oost";2000;60,9;52,9;28,9;37,9;44,5;41,8;25;5,2;9,5;11,2;12,3;35,9
"Overtoomse Sluis";6700;57,4;50,3;29,4;37,5;44,3;43,5;24,2;5,1;9,1;11,6;13,3;31,1
"Cremerbuurt West";4900;54,9;48,3;29,2;37,2;42,9;43;23;5;9,1;11,9;13,6;28,6
"Vondelparkbuurt West";1800;64,2;55,3;29,8;38,1;48,1;44,8;27,4;5,3;9,2;10,9;12,3;43,8
"Vondelbuurt";1500;76,5;63,9;35;36,7;64,7;42,1;30,4;7,5;8,5;11,9;13,1;58,2
"Vondelparkbuurt Oost";800;88,4;74,1;32,5;40,7;62,7;36,7;34,2;7,7;7,7;9,6;10;115,2
"Vondelparkbuurt Midden";700;63,7;53;37,7;32,5;66,8;48;26,3;7,2;9,5;14,4;16,3;36,7
"Zuidas";3400;78,6;66,2;26,7;47;58,2;44;28,8;3,7;3,3;4,5;5,4;7,7
"Zuidas Noord";400;76,2;62,6;13,9;55,8;53,5;31,3;39;0,4;0,4;0,4;0,4;9,1
"RAI";0;;;;;;;;;;;;
"VU-kwartier";100;68;55,4;12,7;50,9;;;;;;;;
"Zuidas Zuid";2000;98,5;80,2;15,8;57,5;78,3;25,4;38,6;3,7;3,5;3,9;4,2;31,3
"Vivaldi";900;34,6;32,4;59,3;18,3;24,7;82,5;7,8;6,2;5;9,7;13,2;-2,4
"Oude Pijp";12800;50,5;45,1;34,7;30,9;38,7;52;17;5,7;10,8;14,4;16,6;13
"Hemonybuurt";2200;56;49;30,8;37,6;41,8;45,6;23,9;4,8;8,3;10,5;12,3;26,9
"Gerard Doubuurt";1700;49,7;44,5;40;28,5;38,2;55,4;14,4;6,5;13,5;18,1;21,5;10,9
"Frans Halsbuurt";2300;57,5;51,1;32,1;34,2;43,9;48,1;19;6;9,9;13,1;14,9;23
"Hercules Seghersbuurt";2200;43,6;39,2;37,7;26,5;34,4;56,9;12,7;6,4;13,5;17,1;19,6;6,7
"Sarphatiparkbuurt";4400;47,9;43,2;34,7;29,1;37;53,2;15,7;5,2;10,1;14,1;16,2;10,6
"Nieuwe Pijp";10800;49,4;44;35,6;31,2;38,4;51,1;18,1;5,4;12;15,3;17,8;16,3
"Willibrordusbuurt";2300;45,8;41,5;41,7;25,8;35,5;60,8;15;6,5;15,8;20,8;24,5;9,9
"Van der Helstpleinbuurt";3400;52,1;46,1;32,5;33,4;40,1;47,5;19;5,7;10,8;13,7;15,4;15,9
"Lizzy Ansinghbuurt";2000;48,6;43,1;36,5;29,5;38,4;51;17,8;4,6;11,6;15,1;17,6;16,6
"Cornelis Troostbuurt";3100;49,7;44;33,9;34,1;38,9;47,6;19,8;4,9;10,5;13,1;15,3;25,6
"Zuid Pijp";6700;35,4;30,5;47,1;18,5;30,9;60,4;10,9;6,5;18,3;25,4;29,2;6,4
"Diamantbuurt";2600;34,5;29,5;49;17,2;31,4;60,7;11,4;6,9;19,7;26,9;30,4;5,3
"Burgemeester Tellegenbuurt Oost";2300;36,6;31,8;45,7;20,3;31,1;58,7;10,9;7,3;18,5;24,1;28;8,1
"Burgemeester Tellegenbuurt West";1900;35,1;30,3;46,1;18;30;62;10,1;5,2;16,6;25;29;6,9
"Weesperzijde";4800;58,7;50,9;31,4;38,5;47;42,6;25,3;4,6;7,9;10,5;12,2;31,5
"Swammerdambuurt";1700;72,5;63,1;27;41,8;55;39,7;29,2;4,1;6,7;7,9;9,3;65,8
"Weesperzijde Midden/Zuid";2800;55,2;47,6;29,4;40,4;47,1;38,1;26,4;4,5;7,9;10,9;12,7;40,3
"Parooldriehoek";300;19,7;17,4;69,8;7;14,7;83,6;2,8;10,9;17,8;25,6;28,7;0
"Oosterparkbuurt";9000;42,2;36,5;40,6;26,1;34,2;54,5;16;6,4;15,4;20,2;22,9;10,4
"Oosterparkbuurt Noordwest";3300;40,7;36,3;39,7;25,1;33;56,9;14,2;6,2;14,2;18,3;21;8,8
"Oosterpark";100;29;28,4;52;12,6;22,7;79,5;2,7;;;;;1,1
"Oosterparkbuurt Zuidoost";3100;46,4;39,5;37,2;30,7;37,3;48;20,9;6,4;13,1;17,3;19,8;24,9
"Oosterparkbuurt Zuidwest";2600;39,8;33,4;45,4;22,6;32,9;57,3;13,3;6,6;19,1;25,3;28,1;5,6
"Dapperbuurt";8200;40,5;34,7;42,7;24,1;33,5;55,5;15,6;6,4;15,2;20,6;23,9;8,8
"Dapperbuurt Noord";3600;37,4;32,4;45,3;21,8;31,9;57,1;13,2;6,5;15,7;21,4;25,3;8
"Dapperbuurt Zuid";3100;38;33,3;43,4;21,5;31,4;59,4;14,1;7,1;16,1;21,7;24,8;5,3
"Oostpoort";1500;53,4;42,7;34,7;35,4;42,7;41,9;25,7;4,5;12;16,1;18,6;51,5
"Transvaalbuurt";7500;37,4;31,4;44;21,4;32,6;54,6;14,8;6,5;16,6;21,5;24,5;5,9
"Transvaalbuurt West";3400;36,6;31,2;44,4;20,8;31,2;57,5;13,6;6,8;17,7;23,2;25,8;5,7
"Transvaalbuurt Oost";4100;38;31,6;43,7;21,9;33,8;52,2;15,9;6,2;15,6;20,1;23,4;6
"Indische Buurt West";10300;37,7;31,9;43,8;22,2;32,4;53;14,3;6,8;15,7;20,6;23,7;6,9
"Noordwestkwadrant Indische buurt Noord";3200;41,9;35,6;37,5;27,2;34,3;50,6;15,8;5,9;13,4;17,6;20,1;10,4
"Noordwestkwadrant Indische buurt Zuid";3800;38,8;33,5;42,2;24,1;33;51,8;14,7;6,6;14,1;18,3;21;8,4
"Zuidwestkwadrant Indische buurt";3200;32,1;26,5;52,1;15;29,3;57,2;11,9;8;20,3;26,8;30,9;3,7
"Indische Buurt Oost";8000;34;28,6;48,1;18,2;30,6;56,2;12,1;6,8;18,3;24;27,6;4,5
"Noordoostkwadrant Indische buurt";4600;32,7;27,9;49,7;17,1;29,6;59,9;10,9;7;20,1;26,6;30,1;3,9
"Zuidoostkwadrant Indische buurt";3000;33,2;27,4;47,6;17,8;30,4;53,2;11,9;6,8;16,7;21,6;25,6;4,2
"Zeeburgerdijk Oost";400;56,4;48,5;32,4;36,1;47,6;28;31;3,6;7,1;7,7;9,7;336,6
"Flevopark";0;;;;;;;;;;;;
"Oostelijk Havengebied";16500;54,2;45,9;28,3;39,1;45,5;31,4;31,3;3,8;6,1;8,1;9,9;80,8
"Oostelijke Handelskade";1200;67,4;55,6;23,7;48,6;54,7;25,5;38,1;4,5;5,4;7,7;9,2;36,7
"Rietlanden";2000;56,4;47,5;28,9;40,7;47,3;32,2;33,5;3,5;5,9;8,3;10,1;64,4
"Java-eiland";2500;56,3;48,4;25,7;41,8;46,5;28,1;32,9;3,4;4,6;5,5;7;106,3
"KNSM-eiland";2100;52;46;29,4;34,2;44,1;32,7;24;4,2;7,7;10;11,9;203,9
"Sporenburg";2200;55,2;44,6;28,6;42,6;49,2;23,1;44,6;2,3;3,7;4,7;6;319,6
"Borneo";2200;53;41,9;31,6;38,9;46;25,9;39,5;4,7;6,8;8,4;10,1;124,3
"Entrepot-Noordwest";1200;43,1;36,8;36,2;26,1;37,6;44,5;17,6;5,6;11;16;19;22,2
"Architectenbuurt";1500;43,7;38,8;33;30,6;38,1;40,5;17,5;4,2;9,1;12,5;15,1;153,3
"Bedrijvengebied Veelaan";0;;;;;;;;;;;;
"Bedrijvengebied Cruquiusweg";1500;63,5;56,1;15,2;48,8;48,2;29,1;33,2;1,9;2,2;2,7;3,7;15,9
"Bedrijvengebied Zeeburgerkade";200;34;29,5;43,1;17,2;27;65,3;12;6,4;7,3;8,2;9,1;4,9
"Zeeburgereiland/Nieuwe Diep";4100;44,5;36,9;38,7;30,8;33,3;51,4;18,2;5,7;7,2;10,8;13,3;2,9
"Zeeburgereiland Noordwest";0;;;;;;;;;;;;
"Zeeburgereiland Zuidoost";400;13,4;12,9;84,2;1,4;12,3;98;0,6;;;;;-3
"Zeeburgereiland Zuidwest";200;17,9;16,8;76,7;6;14,4;88,4;1;;;;;-3,5
"Nieuwe Diep/Diemerpark";100;;;;;;;;;;;;
"RI Oost terrein";3400;49,6;40,2;31,3;35,6;37,9;41,3;22;4,6;6,6;9,8;12;7,5
"Zeeburgereiland Noordoost";0;;;;;;;;;;;;
"IJburg West";11800;53;40,3;35,5;36,6;45,2;28,3;36,2;4;6,5;9,3;10,9;82,4
"Steigereiland Noord";1200;53,9;40,4;31,5;39;45,2;25,4;35,2;3,6;6,8;9,2;9,9;36,2
"Steigereiland Zuid";1900;55,5;41,1;37,7;35,7;50,7;26,7;42,7;3,8;5,9;9,5;10,7;367,6
"Haveneiland Zuidwest/Rieteiland West";2100;64,5;49,6;34,7;43,1;58;14,6;56,5;3,7;3,7;4,3;4,7;588,2
"Haveneiland Noordwest";2200;48,1;38,4;35,1;33,6;39,1;38,7;24,5;4,1;7,6;11,2;13,3;17
"Haveneiland Noordoost";4300;48,4;36,4;36,2;34,6;41,3;29,2;32,7;4,4;7,2;10,3;12,4;52,3
"Sloterdijk";500;61,2;54,9;21,1;47,2;45,5;29,8;29,5;11,3;11;12,5;12,8;11,9
"Woon- en Groengebied Sloterdijk";500;67;59,5;14,1;52,8;51,9;17,6;35,2;2,1;2,8;2,8;2,8;20,8
"Bedrijventerrein Sloterdijk I";100;;;;;;;;;;;;
"Landlust";15400;38,5;32;40,1;23,6;32,9;50,7;15,2;6;13,5;17,8;20,6;7,2
